 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24
1,520.252,632.023,581.881,596.111,603.565,570.025,520.050,582.562,562.318,634.414,501.975,626.665,619.620,642.230,638.874,648.627,524.050,529.303,530.302,483.880,509.549,431.493,569.631,510.125
2,520.030,631.503,581.609,595.637,602.595,569.857,519.984,582.621,563.343,634.972,501.978,626.098,621.374,639.792,638.191,647.346,523.240,528.971,531.005,483.799,509.051,431.817,570.185,509.372
3,519.806,631.224,581.506,594.911,603.076,570.056,519.588,582.721,564.443,634.717,501.852,625.421,622.949,637.594,637.524,646.177,522.233,528.398,530.931,483.877,508.205,432.922,570.371,508.080
4,519.480,631.526,581.644,594.349,604.427,570.383,519.086,582.831,564.924,633.814,501.486,625.076,622.880,636.738,637.367,645.807,521.490,527.948,530.044,483.904,507.418,434.032,570.247,506.683
5,519.042,632.389,581.613,594.321,605.313,570.522,518.684,582.929,564.485,632.841,500.960,625.387,620.723,637.296,637.786,646.409,521.243,528.068,528.717,483.719,507.020,434.385,570.242,505.819
6,518.778,633.189,581.225,594.848,605.359,570.729,518.576,583.077,563.460,632.223,500.604,626.050,618.354,637.995,638.302,647.538,521.296,528.237,527.580,483.326,506.833,434.168,570.359,505.784
7,518.946,633.280,580.779,595.324,605.382,571.132,519.089,582.959,562.784,631.828,500.663,626.211,618.311,637.572,638.365,648.137,521.254,527.862,527.423,482.898,506.671,433.945,570.180,506.247
8,519.378,632.670,580.715,595.418,605.908,571.499,520.093,582.385,562.852,631.646,501.065,625.662,620.340,636.184,638.003,647.887,520.782,527.200,528.248,482.623,506.284,433.832,569.708,506.746
9,519.758,632.062,581.146,595.676,606.191,571.581,520.755,581.733,563.559,631.630,501.503,625.011,622.080,635.165,637.706,647.630,520.170,527.031,529.435,482.649,505.520,433.870,569.422,506.946
10,519.934,632.201,581.874,596.582,605.053,571.210,520.529,581.548,564.157,631.793,501.662,625.102,621.426,635.628,637.932,648.235,519.827,527.452,530.226,482.869,504.291,433.667,569.590,506.889
11,520.050,633.148,582.826,598.017,602.687,570.593,519.929,581.963,564.345,632.074,501.436,626.080,618.731,637.156,638.566,649.548,519.760,528.223,530.371,482.928,503.262,433.052,570.062,507.055
12,520.176,634.220,583.684,598.958,600.687,570.072,519.648,582.336,564.271,631.945,501.031,627.403,616.226,638.410,639.035,650.705,519.788,529.006,530.061,483.010,503.184,432.284,570.348,507.470
13,520.124,634.727,584.020,598.845,600.527,569.947,519.805,582.251,563.960,631.184,500.657,628.531,615.666,638.708,638.954,651.110,519.896,529.382,529.604,483.366,504.131,431.965,570.379,507.716
14,519.916,634.763,583.826,598.094,601.168,569.733,520.145,582.047,563.142,630.239,500.370,629.146,616.417,638.753,638.579,650.905,520.140,529.340,528.897,483.847,505.422,432.559,570.364,507.574
15,519.770,635.177,583.534,597.546,600.634,569.050,520.273,582.328,561.869,629.920,500.225,629.322,616.323,639.461,638.550,650.810,520.438,529.200,527.975,483.862,506.122,433.872,570.422,507.393
16,519.825,635.954,583.372,597.731,598.786,568.007,520.054,583.061,560.742,630.163,500.323,629.318,614.731,640.623,638.955,651.138,520.705,528.978,527.000,483.482,505.629,434.959,570.533,507.585
17,519.958,636.466,583.174,598.443,596.962,567.236,519.738,583.570,560.517,630.253,500.574,629.229,613.491,641.473,639.203,651.377,521.063,528.487,526.568,483.401,504.300,434.951,570.502,507.889
18,519.905,636.049,582.715,598.900,596.427,567.361,519.652,583.585,560.936,629.793,500.863,628.824,614.603,641.464,638.746,650.764,521.526,527.846,527.152,483.818,502.836,433.933,570.226,507.825
19,519.763,635.124,582.099,598.607,597.366,568.335,519.886,583.360,561.415,629.124,501.095,627.925,616.814,640.868,637.857,649.289,521.844,527.376,528.337,484.369,502.002,433.188,569.590,507.384
20,519.805,634.690,581.791,597.690,598.832,569.274,520.094,583.226,561.617,628.956,501.089,626.977,617.806,640.586,637.194,647.787,521.971,527.279,529.229,484.625,502.078,433.296,568.956,506.974
21,520.202,635.000,581.866,596.784,599.534,569.418,520.027,583.285,561.638,629.340,500.700,626.637,617.183,641.071,636.949,646.992,522.183,527.505,529.501,484.366,502.773,433.904,568.729,506.875
22,520.662,635.234,581.688,596.061,599.084,569.071,519.839,583.143,561.644,629.857,500.091,626.889,616.937,641.642,636.770,646.905,522.582,527.864,529.587,483.698,503.864,434.278,568.839,506.886
23,520.840,634.371,580.929,595.374,599.252,569.010,519.912,582.574,561.926,630.191,499.788,627.021,618.534,641.373,636.093,646.705,522.812,527.932,529.776,482.980,505.129,434.388,568.874,506.797
24,520.806,632.799,579.842,594.593,601.931,569.483,520.242,581.611,562.407,630.308,500.013,626.722,621.429,640.145,634.882,646.080,522.679,527.493,529.509,482.574,506.291,434.675,568.637,506.547
25,520.668,631.641,579.091,594.033,606.137,569.951,520.491,580.731,562.797,630.306,500.508,626.180,623.646,638.889,633.878,645.570,522.258,526.850,528.482,482.724,506.927,435.186,568.387,506.459
26,520.428,631.443,578.921,594.133,608.748,570.204,520.471,580.479,562.669,630.221,500.913,625.815,624.174,638.674,633.668,645.741,521.728,526.331,527.206,483.239,506.893,435.513,568.304,506.866
27,520.287,632.026,579.004,594.476,608.794,570.292,520.327,580.792,562.316,629.966,501.035,625.948,623.969,639.518,634.088,646.312,521.167,525.861,526.356,483.700,506.438,435.629,568.141,507.499
28,520.571,632.671,578.715,594.280,607.916,570.335,520.336,581.110,562.218,629.690,500.929,626.464,624.440,640.251,634.490,646.585,520.691,525.274,526.268,483.875,506.191,435.699,567.674,507.683
29,521.014,632.675,577.810,593.681,608.023,570.418,520.341,581.112,562.462,629.480,500.774,626.702,626.003,639.720,634.426,646.185,520.565,524.578,526.595,483.865,506.462,435.678,567.039,507.128
30,521.236,632.191,576.893,593.186,608.847,570.544,520.105,581.208,562.733,629.552,500.678,626.303,627.717,638.276,634.008,645.386,520.814,524.210,527.005,483.850,507.065,435.307,566.607,506.631
31,521.149,631.990,576.917,592.997,608.962,570.529,519.659,581.640,562.960,630.218,500.594,625.653,628.106,637.303,633.714,644.963,521.332,524.387,527.297,483.701,507.335,435.157,566.779,506.942
32,520.984,632.299,577.644,593.144,607.969,570.269,519.152,582.086,563.150,631.503,500.504,625.480,626.814,637.411,633.719,645.339,521.846,524.860,527.305,483.443,507.391,436.052,567.491,507.709
33,520.785,632.535,578.217,593.596,606.733,569.860,518.760,582.242,563.492,632.430,500.475,625.922,625.229,637.872,633.732,646.001,522.168,525.028,527.103,483.110,507.802,437.713,568.030,508.130
34,520.418,632.307,578.091,594.216,606.237,569.539,518.691,582.024,563.905,632.386,500.531,626.748,624.943,637.664,633.382,646.231,522.300,524.671,526.865,482.796,508.709,438.759,568.021,508.038
35,519.974,632.328,577.672,595.125,606.282,569.415,519.036,581.638,563.998,631.612,500.580,627.734,625.977,637.026,632.719,646.150,522.312,524.241,526.506,482.665,509.769,438.412,567.828,507.688
36,519.781,633.150,577.806,595.900,606.046,569.399,519.480,581.206,563.494,631.071,500.456,628.653,626.811,636.713,632.166,646.346,522.191,524.233,526.263,482.977,510.451,437.649,567.869,507.397
37,520.040,634.333,578.751,595.845,605.053,569.086,519.515,580.914,562.852,631.007,500.225,629.333,626.289,636.898,632.107,646.814,522.010,524.410,526.292,483.598,510.469,437.136,568.271,507.244
38,520.452,634.930,579.791,594.950,604.061,568.360,519.259,580.680,562.936,630.924,500.059,629.623,625.369,637.204,632.531,646.822,521.669,524.321,526.430,484.084,509.902,436.606,568.683,506.989
39,520.716,634.750,580.126,594.100,604.443,567.981,519.288,580.324,563.998,629.984,500.139,629.226,625.426,637.062,632.936,646.015,521.184,523.924,526.179,484.105,509.202,435.794,568.791,506.358
40,520.796,634.025,579.767,593.848,606.229,568.304,519.643,580.088,565.481,628.761,500.346,628.165,626.666,636.235,632.901,644.780,520.648,523.632,525.786,483.646,508.976,435.252,568.479,505.795
41,520.732,633.656,579.470,594.211,608.015,568.989,519.736,580.340,566.500,628.462,500.433,626.959,627.351,635.438,632.600,644.137,520.336,523.841,525.354,482.902,509.022,435.464,567.912,506.070
42,520.717,634.320,579.696,594.934,607.672,569.088,519.077,581.161,566.337,629.554,500.429,626.507,626.351,635.619,632.606,644.743,520.450,524.582,524.988,482.171,508.895,436.206,567.368,507.305
43,520.819,635.866,580.265,595.751,604.916,568.244,518.058,582.128,564.996,631.048,500.485,627.097,624.180,636.686,633.034,646.274,520.776,525.638,524.907,481.742,508.198,436.620,567.239,508.791
44,520.898,637.706,580.573,596.449,601.336,567.014,517.231,582.695,563.373,632.237,500.668,628.135,622.337,637.579,633.484,647.862,520.903,526.500,525.233,481.656,507.418,436.330,567.526,509.861
45,520.702,639.160,580.079,596.870,599.275,566.408,517.008,582.615,562.727,632.823,500.893,628.937,621.663,637.599,633.682,648.846,520.833,526.687,525.803,481.947,507.080,435.826,567.901,510.105
46,520.303,640.041,579.522,596.889,599.084,566.696,517.257,582.377,563.085,632.740,501.127,629.251,621.491,637.177,633.851,649.074,520.839,526.421,526.268,482.578,507.342,435.554,568.090,509.687
47,519.994,640.359,579.743,596.548,599.710,567.217,517.747,582.301,563.506,632.469,501.286,629.373,620.629,637.077,634.201,648.909,521.047,526.108,526.533,483.342,507.724,435.600,568.175,509.132
48,519.956,640.013,580.763,596.102,599.603,567.192,518.130,582.326,563.178,632.540,501.316,629.570,619.083,637.516,634.661,648.689,521.311,525.809,526.459,484.110,507.960,435.571,568.339,508.861
49,520.157,639.099,581.834,595.795,598.779,566.794,518.070,582.471,562.561,632.844,501.239,629.651,617.940,638.097,634.780,648.379,521.292,525.424,526.329,484.704,508.216,435.101,568.735,508.893
50,520.438,638.221,582.257,595.648,598.290,566.592,517.674,582.438,562.231,632.779,501.160,629.275,618.391,638.078,634.338,647.684,520.904,524.954,526.658,484.962,508.525,434.214,569.113,509.217
51,520.645,637.800,582.024,595.914,598.389,566.983,517.396,582.224,561.835,632.156,501.123,628.635,619.789,637.100,633.513,646.705,520.493,524.527,527.663,484.875,508.620,433.406,569.247,509.489
52,520.757,637.768,581.874,596.864,598.321,567.390,517.658,582.020,560.860,631.354,501.105,628.154,620.277,635.977,632.907,646.074,520.383,524.227,528.612,484.569,508.395,432.928,569.134,509.572
53,520.804,637.938,581.933,598.130,598.076,567.160,518.264,582.106,559.640,630.651,501.035,627.953,619.391,635.447,632.826,646.214,520.476,524.081,528.673,483.965,508.391,432.609,568.991,509.589
54,520.798,637.980,581.581,598.753,598.443,566.400,518.875,582.301,559.201,630.274,500.881,627.841,618.494,635.373,633.075,646.765,520.622,524.005,527.875,483.237,508.878,432.403,568.887,509.604
55,520.723,637.571,580.656,598.186,599.603,566.153,519.250,582.153,559.979,630.090,500.698,627.444,618.923,635.243,633.111,646.783,520.759,523.892,526.988,482.763,509.535,432.388,568.611,509.354
56,520.495,636.789,579.893,596.726,601.443,566.806,519.437,581.418,561.439,629.949,500.608,626.691,620.614,634.634,632.670,645.748,520.671,523.778,526.821,482.701,509.856,432.472,568.113,508.696
