 ,Mean1,Mean4,Mean6,Mean7
1,636.550,890.879,718.381,794.373
2,635.912,889.828,717.214,794.081
3,634.882,885.100,714.901,793.665
4,633.855,878.515,712.453,793.236
5,633.675,874.339,711.270,793.015
6,634.704,874.543,711.835,792.995
7,636.102,876.304,713.028,793.033
8,636.645,875.334,713.084,792.840
9,636.355,870.762,711.604,792.308
10,636.126,866.548,709.952,791.795
11,636.296,866.491,709.503,791.730
12,636.597,869.288,710.028,791.871
13,636.438,870.526,710.230,791.761
14,635.374,867.900,709.357,791.267
15,634.078,863.930,708.182,790.717
16,633.462,862.612,708.062,790.279
17,633.853,864.725,709.140,790.029
18,634.254,866.923,710.271,789.949
19,634.026,865.740,710.165,789.767
20,633.474,861.805,709.070,789.518
21,633.422,859.230,708.455,789.523
22,634.166,860.528,709.210,789.953
23,635.055,863.650,710.312,790.689
24,635.178,864.410,710.309,791.420
25,634.360,861.477,708.902,791.897
26,633.398,858.148,707.168,792.273
27,633.216,858.352,706.468,792.968
28,633.964,862.379,707.033,794.090
29,634.986,867.241,708.267,795.256
30,635.602,870.473,709.789,795.952
31,635.905,872.834,711.527,796.104
32,636.308,876.255,713.200,796.006
33,637.171,880.640,714.398,795.653
34,638.199,883.464,714.986,794.776
35,638.855,882.285,714.577,793.572
36,638.519,877.643,713.049,792.603
37,637.258,873.195,711.397,792.179
38,636.142,872.300,710.746,792.167
39,636.313,873.983,710.928,792.262
40,637.528,874.059,710.739,792.230
41,638.543,869.984,709.566,792.051
42,638.773,864.474,708.096,791.927
43,638.739,862.276,707.658,792.047
44,638.673,864.293,708.546,792.362
45,638.481,866.556,709.476,792.569
46,637.758,864.962,709.123,792.356
47,636.666,860.126,707.772,791.789
48,636.009,856.674,706.956,791.463
49,635.962,857.624,707.327,791.763
50,636.069,860.864,708.053,792.377
51,635.761,861.567,707.947,792.478
52,635.104,857.992,706.895,791.682
53,634.633,853.773,705.971,790.627
54,634.536,853.365,706.003,790.189
55,634.882,856.516,706.698,790.615
56,635.363,858.808,706.922,791.156
57,635.519,856.968,706.123,791.242
58,635.021,852.627,704.991,791.003
59,634.329,850.306,704.762,790.891
60,634.225,852.050,705.644,791.109
61,634.993,855.219,706.721,791.461
62,635.969,855.833,706.861,791.664
63,636.325,853.331,705.979,791.790
64,636.092,851.314,705.337,792.185
65,635.827,852.617,705.862,792.929
66,635.882,856.123,707.111,793.677
67,635.865,858.666,707.952,793.986
68,635.204,859.072,708.078,793.737
69,634.261,859.593,708.219,793.206
70,634.071,863.055,709.240,792.703
71,634.820,869.047,710.976,792.364
72,635.502,873.769,712.059,792.071
73,635.090,873.499,711.715,791.701
74,633.829,869.085,710.502,791.307
75,633.005,865.341,709.747,791.099
76,633.164,865.581,709.948,791.192
77,633.822,867.994,710.329,791.261
78,634.244,868.103,709.712,790.881
79,634.000,864.477,707.916,790.132
80,633.315,860.367,706.059,789.616
81,632.784,859.788,705.497,789.656
82,632.559,862.590,706.146,789.898
83,632.382,864.440,706.675,789.917
84,631.950,861.821,706.026,789.572
85,631.396,856.364,704.852,789.146
86,630.860,853.060,704.611,789.013
87,630.491,854.242,705.497,789.312
88,630.436,857.117,706.319,789.738
89,630.713,857.286,705.906,789.779
90,631.090,853.771,704.532,789.349
91,631.716,850.228,703.405,788.856
92,632.756,850.330,703.552,788.840
93,634.062,853.453,704.801,789.260
94,634.682,855.815,705.847,789.526
95,634.043,854.893,705.621,789.321
96,632.543,852.356,704.445,788.881
97,631.841,852.370,703.671,788.873
98,632.344,856.483,704.088,789.563
99,632.905,861.324,704.903,790.492
100,632.727,862.810,704.894,791.016
101,632.391,861.588,703.980,791.203
102,632.621,862.823,703.768,791.740
103,633.258,869.951,705.340,792.872
104,634.102,879.829,707.833,793.974
105,634.981,885.468,709.205,794.440
106,635.377,883.818,708.651,794.139
107,635.128,879.012,707.477,793.387
108,634.704,877.280,707.351,792.778
109,634.597,879.765,708.075,792.630
110,634.334,881.973,708.124,792.815
111,633.268,879.526,706.783,792.888
112,631.581,873.532,704.962,792.712
113,630.166,869.359,704.212,792.582
114,629.604,870.100,704.897,792.837
115,629.642,873.026,705.999,793.253
116,629.540,873.080,705.950,793.532
117,628.848,868.943,704.475,793.859
118,628.358,864.699,702.950,794.492
119,629.223,864.576,702.683,795.290
120,630.998,867.438,703.527,795.742
121,632.083,868.325,704.107,795.493
122,631.791,864.686,703.527,794.620
123,631.372,859.338,702.231,793.594
124,631.851,857.198,701.606,793.089
