 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16
1,700.756,665.635,692.203,671.931,696.289,722.243,702.310,690.660,698.961,698.904,699.796,699.303,702.918,676.299,665.922,691.823
2,699.852,666.365,692.624,671.716,696.427,722.099,704.401,690.892,699.443,698.436,701.133,700.808,702.811,676.359,666.848,691.215
3,699.875,666.662,692.507,671.485,696.388,721.784,706.631,690.838,699.713,698.076,702.167,701.529,702.448,676.309,667.513,690.924
4,700.264,666.418,692.037,671.273,696.293,721.455,708.028,690.591,699.440,698.049,702.496,701.418,701.843,676.280,667.825,691.149
5,700.105,665.937,691.449,671.493,696.266,721.211,708.019,690.475,698.696,698.293,702.342,701.037,701.139,676.451,667.825,691.486
6,699.543,665.679,690.785,672.027,696.160,720.972,706.899,690.826,697.966,698.453,702.339,700.331,700.402,676.609,667.758,691.611
7,699.906,665.382,690.199,672.727,695.815,720.672,705.404,691.695,697.574,698.121,702.538,699.313,699.648,677.033,668.030,691.726
8,701.884,664.785,689.699,673.199,695.190,720.340,704.350,693.490,697.328,697.308,702.728,698.489,699.310,677.832,668.985,692.000
9,705.011,663.772,689.201,673.414,694.458,720.001,703.728,696.402,696.798,696.170,702.590,698.452,699.886,678.625,670.316,692.542
10,708.278,662.673,688.836,673.464,693.914,719.673,703.150,699.166,695.713,695.160,701.715,698.517,700.886,678.812,671.019,693.135
11,711.009,661.563,688.652,673.613,693.736,719.256,702.643,700.421,694.786,694.369,700.191,698.071,701.267,678.776,670.532,693.368
12,712.838,660.614,688.635,673.565,693.932,718.793,702.434,700.537,694.484,693.692,698.585,697.307,700.737,678.967,669.305,693.083
13,713.778,660.135,689.070,672.814,694.343,718.502,702.500,700.525,694.854,693.429,697.961,697.074,699.854,679.451,668.338,692.549
14,713.892,660.340,690.091,671.448,694.352,718.576,702.601,700.471,695.516,693.709,698.661,697.653,699.374,679.773,668.060,691.913
15,713.412,661.327,691.185,670.623,693.391,718.822,702.751,699.664,696.234,693.946,699.569,698.811,699.982,679.740,668.182,691.288
16,712.702,662.707,691.977,670.979,691.754,718.775,702.812,698.680,696.659,693.510,699.768,699.901,701.779,679.306,668.573,690.559
17,711.903,664.013,692.227,671.745,690.429,718.342,702.362,698.568,696.462,692.660,699.248,700.387,703.833,678.589,669.007,689.910
18,711.168,664.781,692.012,671.997,690.375,717.849,701.488,699.166,695.569,691.926,698.462,700.288,704.854,677.901,669.086,689.622
19,710.423,664.721,691.650,671.546,691.585,717.522,700.643,699.320,694.810,691.436,697.872,699.783,704.477,677.405,668.546,689.913
20,709.594,663.905,691.615,670.995,692.835,717.304,700.352,698.826,694.959,691.360,697.713,699.263,703.765,677.016,667.900,690.545
21,708.690,662.696,692.320,670.512,692.986,717.064,700.826,698.320,695.654,691.697,697.789,699.006,703.957,676.414,667.870,690.566
22,707.980,661.757,693.012,669.907,692.135,717.072,701.725,698.158,696.197,692.431,697.836,699.003,705.043,675.694,668.777,689.760
23,707.432,661.572,693.173,669.496,691.345,717.814,702.279,698.290,696.129,693.300,697.517,699.180,706.203,675.151,669.647,688.812
24,706.974,661.932,693.112,669.817,690.923,719.468,702.378,698.247,695.633,693.759,696.859,699.796,706.274,675.099,669.851,688.444
25,706.727,662.209,693.208,670.703,690.788,721.602,702.484,697.660,695.382,693.594,696.191,700.681,705.221,675.849,669.238,688.444
26,706.810,662.238,692.951,671.459,690.598,723.584,702.981,696.792,695.625,693.064,695.580,701.081,704.110,677.072,668.230,688.403
27,707.003,662.245,692.077,671.645,690.463,725.052,703.425,696.320,696.124,692.502,695.016,700.554,704.050,678.036,667.271,688.361
28,707.000,662.348,690.916,671.276,690.260,725.854,703.298,696.467,696.431,692.047,694.261,699.152,704.658,678.289,666.561,688.642
29,706.494,662.479,690.014,670.430,690.014,726.034,702.596,696.649,696.290,691.865,693.577,697.424,705.060,678.201,666.260,688.972
30,705.591,662.665,689.350,669.353,689.756,725.910,701.960,696.537,695.949,692.160,693.201,696.180,704.957,678.115,666.454,689.312
31,705.037,662.772,688.813,668.814,689.734,725.864,701.728,696.320,695.710,692.948,693.376,695.876,704.391,678.382,667.052,689.597
32,705.256,662.700,688.558,669.361,690.120,725.972,701.531,696.649,695.326,693.840,694.128,695.904,703.737,679.016,667.855,689.510
33,705.821,662.338,688.549,670.782,690.865,726.006,700.955,697.444,694.599,694.367,695.055,695.560,703.071,679.668,668.654,688.851
34,705.881,661.705,688.741,672.674,691.406,725.701,700.127,697.822,693.835,694.273,695.279,694.743,702.509,679.961,669.056,688.184
35,705.122,661.049,689.147,673.923,691.395,725.118,699.392,696.923,693.470,693.803,694.888,693.690,702.203,679.783,668.710,688.021
36,704.122,660.437,689.383,673.989,691.032,724.627,699.174,695.081,693.783,693.645,694.849,692.560,702.406,679.582,667.695,688.611
37,703.699,659.926,689.220,673.286,690.695,724.370,699.667,693.560,695.022,693.956,695.499,691.913,702.868,679.562,666.454,689.406
38,704.048,659.692,688.766,672.541,690.614,724.157,700.559,693.093,696.900,694.123,696.232,691.672,703.377,679.664,665.290,689.976
39,704.409,660.099,688.407,671.798,690.483,723.712,701.141,693.317,698.528,694.042,696.319,691.743,703.922,679.868,664.431,690.122
40,704.173,661.272,688.093,671.167,690.099,723.087,701.200,693.560,699.141,693.800,695.992,691.919,704.520,680.434,664.476,690.253
41,703.287,662.643,687.769,670.841,689.490,722.446,700.979,693.517,698.993,693.672,696.196,692.297,704.744,681.168,665.063,690.378
42,702.222,663.441,687.956,671.180,688.858,722.037,700.648,693.042,698.732,693.754,697.452,692.533,704.018,681.572,665.985,690.344
43,701.659,663.143,689.390,671.775,688.246,721.841,700.455,692.162,698.363,694.042,699.031,692.220,702.641,681.461,667.060,690.163
44,701.821,662.065,692.341,671.902,687.824,721.630,700.711,691.625,697.745,694.379,699.992,691.588,701.626,681.365,668.227,690.017
45,702.199,660.973,696.360,671.594,687.736,721.127,701.451,691.842,697.438,694.438,700.225,691.325,701.509,681.592,669.186,689.837
46,702.378,660.544,700.400,671.334,687.799,720.466,702.303,692.112,697.985,694.079,700.141,691.635,702.356,681.661,669.799,689.378
47,702.216,660.814,703.308,671.416,687.844,719.976,702.826,691.811,699.190,693.736,700.031,691.929,704.299,681.033,670.691,688.903
48,701.830,661.304,704.682,671.401,687.977,719.987,703.007,691.208,700.462,693.899,699.807,691.585,706.829,680.247,672.119,689.017
49,701.156,661.411,705.105,671.045,688.205,720.516,703.157,690.930,701.307,694.241,699.405,690.616,708.662,680.530,673.413,689.861
50,700.344,660.656,705.346,670.639,688.257,721.088,703.460,690.950,701.771,694.081,698.969,689.601,709.324,681.711,673.528,690.858
51,700.080,659.276,705.523,670.830,687.910,721.370,703.817,691.112,701.939,693.249,698.517,688.929,709.221,682.816,672.732,691.521
52,700.574,658.135,705.430,671.775,687.302,721.543,703.847,691.409,701.956,692.493,697.950,688.842,708.644,682.905,671.937,691.788
53,701.304,658.040,705.336,673.050,686.795,722.052,703.669,691.602,702.260,692.527,697.287,688.988,707.751,681.632,671.914,692.132
54,701.997,658.774,705.544,673.769,686.558,722.834,703.765,691.282,702.735,693.111,696.692,688.913,707.206,679.806,672.312,692.451
55,702.528,659.603,706.044,673.241,686.752,723.509,703.904,690.513,703.212,693.702,696.371,688.495,707.128,678.507,672.427,692.535
56,702.048,660.082,706.374,671.971,687.059,723.825,703.803,689.622,703.097,693.897,696.185,687.882,707.335,677.987,672.104,691.941
57,700.435,660.561,706.332,671.225,687.235,723.846,703.411,688.822,702.175,693.823,695.710,686.923,707.132,677.882,671.952,690.670
58,698.909,661.342,705.923,671.363,687.269,723.739,703.167,688.189,701.097,693.933,694.757,685.854,706.591,677.816,672.599,689.427
59,698.605,662.331,705.051,671.934,687.440,723.597,703.110,687.687,700.494,694.421,693.684,685.492,706.125,677.385,673.684,688.681
60,699.366,663.040,703.785,672.406,687.700,723.525,703.479,687.251,700.253,694.872,693.206,686.043,705.662,676.655,674.145,688.142
61,700.287,663.205,702.453,672.584,687.998,723.621,704.155,686.668,699.883,694.805,693.627,686.799,704.815,675.796,673.770,687.656
62,700.949,662.863,701.374,672.462,688.223,723.775,704.495,686.336,699.229,694.192,694.347,686.879,703.591,675.007,672.937,687.688
63,701.153,662.219,700.418,672.300,688.427,723.802,704.110,686.764,698.745,693.490,694.611,686.000,702.712,674.289,672.152,688.243
64,700.761,661.597,699.554,672.355,688.752,723.722,703.446,687.653,698.589,693.177,694.269,685.300,702.512,673.872,671.617,689.101
65,700.122,661.466,698.951,672.631,688.761,723.618,703.171,687.996,698.328,693.574,693.692,685.817,702.441,674.046,671.245,689.861
66,699.858,661.956,698.869,672.485,688.131,723.402,703.254,687.166,697.499,694.239,693.619,687.288,701.701,674.914,670.877,690.038
67,699.943,662.631,698.946,671.801,687.361,723.065,703.465,685.842,696.136,694.527,694.146,688.740,700.463,675.816,670.286,689.760
