 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13
1,671.829,699.488,695.997,701.109,699.622,696.178,700.617,690.721,701.911,664.920,699.500,698.740,733.184
2,671.911,699.045,696.127,703.019,699.663,697.138,699.489,690.888,701.923,665.538,700.294,699.951,733.872
3,671.773,699.326,695.688,705.254,699.364,697.950,698.769,690.741,701.667,665.839,700.385,700.930,735.020
4,671.388,699.774,694.910,706.848,698.855,698.148,698.769,690.375,701.112,665.649,699.882,701.308,735.721
5,671.457,699.602,694.030,707.077,698.290,697.673,699.091,690.056,700.454,665.180,699.340,701.182,735.458
6,671.964,698.988,693.207,706.075,697.559,696.960,699.258,690.271,699.808,664.698,698.701,700.925,734.662
7,672.740,699.293,692.591,704.529,696.638,696.370,698.814,691.159,699.156,663.909,697.906,700.881,733.950
8,673.299,701.176,692.167,703.275,695.643,695.855,697.867,693.104,698.855,662.785,697.185,701.175,733.427
9,673.500,704.314,691.848,702.488,694.808,695.061,696.614,696.020,699.401,661.499,696.989,701.539,733.073
10,673.533,707.662,691.793,701.954,694.314,693.747,695.534,698.697,700.289,660.430,697.078,701.206,733.017
11,673.760,710.383,691.898,701.609,694.231,692.539,694.735,699.992,700.507,659.434,697.120,699.852,733.204
12,673.872,712.129,692.062,701.498,694.441,691.916,694.360,700.303,699.841,658.577,696.949,697.905,733.196
13,673.319,712.938,692.456,701.493,694.808,691.993,694.606,700.618,698.897,658.317,696.888,696.682,732.609
14,672.112,712.919,693.312,701.466,694.867,692.663,695.288,700.825,698.443,658.748,697.131,697.019,731.712
15,671.388,712.374,694.187,701.531,694.199,693.791,695.447,700.040,699.153,659.824,697.762,698.039,731.358
16,671.842,711.671,694.980,701.674,692.989,694.929,694.477,698.896,701.118,661.128,698.575,698.568,731.601
17,672.711,711.002,695.549,701.437,692.043,695.451,693.129,698.737,703.381,662.362,699.201,698.294,731.469
18,672.997,710.440,695.766,700.621,692.219,695.017,692.227,699.542,704.499,663.217,699.414,697.597,730.601
19,672.438,709.902,695.708,699.650,693.491,694.317,691.629,699.920,704.056,663.434,699.115,696.976,729.631
20,671.674,709.181,695.663,699.232,694.652,694.350,691.227,699.474,703.192,662.980,698.543,696.607,729.176
21,670.875,708.300,696.070,699.655,694.638,694.842,691.231,698.833,703.245,662.069,698.219,696.328,729.151
22,670.026,707.471,696.476,700.708,693.568,695.111,691.761,698.562,704.204,661.228,698.227,696.078,729.388
23,669.602,706.740,696.608,701.587,692.507,694.828,692.466,698.665,705.189,660.855,698.455,695.672,730.419
24,670.039,706.217,696.673,702.027,692.050,694.276,692.735,698.610,705.080,660.983,698.952,695.085,732.332
25,670.990,706.010,696.656,702.302,692.147,693.943,692.519,697.952,703.976,661.197,699.578,694.549,735.338
26,671.717,706.133,695.983,702.775,692.330,693.801,692.106,697.108,702.950,661.280,699.773,694.102,739.123
27,671.799,706.310,694.721,703.111,692.416,693.751,691.701,696.833,702.894,661.390,699.072,693.629,742.715
28,671.388,706.236,693.441,702.809,692.339,693.357,691.545,697.307,703.360,661.592,697.594,692.777,744.818
29,670.562,705.705,692.604,701.821,692.070,692.825,692.011,697.590,703.614,661.870,696.037,691.840,745.056
30,669.546,704.862,692.085,700.957,691.545,692.751,693.208,697.311,703.460,662.132,695.110,691.306,744.827
31,669.089,704.357,691.726,700.729,691.129,693.279,694.587,696.817,703.041,662.115,695.070,691.553,745.346
32,669.694,704.564,691.616,700.761,691.251,693.606,695.595,696.912,702.670,661.653,695.190,692.459,746.441
