 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15
1,377.960,373.550,390.429,378.073,367.219,381.640,376.551,365.152,370.601,364.627,364.108,373.359,365.881,375.553,365.612
2,376.978,372.539,390.171,377.574,369.379,381.606,375.881,366.064,370.537,365.173,364.835,374.602,366.299,375.794,366.778
3,375.838,371.869,390.029,376.829,370.950,381.767,375.012,366.685,370.828,365.700,365.276,375.961,366.625,375.883,368.202
4,374.765,372.058,389.854,375.921,371.123,382.015,374.420,366.800,371.359,366.049,365.466,377.440,366.627,375.815,369.452
5,374.094,372.948,389.525,375.373,370.557,381.938,374.379,366.493,371.589,366.278,365.409,378.965,366.274,375.670,370.127
6,373.960,373.728,389.270,375.373,370.183,381.585,374.827,366.200,371.227,366.278,364.824,380.254,365.773,375.470,370.075
7,374.412,374.021,389.280,375.649,370.151,381.380,375.255,366.093,370.322,365.814,363.744,380.915,365.649,375.147,369.255
8,375.112,373.534,389.376,375.699,370.333,381.417,375.226,366.229,369.368,365.076,362.952,380.898,366.106,374.914,368.271
9,375.271,372.236,389.313,375.487,370.548,381.545,374.860,366.544,368.761,364.600,363.153,380.574,366.751,374.838,367.693
10,374.542,370.691,389.179,375.528,371.082,381.530,374.477,366.589,368.893,364.822,363.861,380.201,367.452,374.548,367.432
11,373.303,369.848,389.146,376.153,371.776,381.246,374.449,366.333,369.580,365.568,364.247,380.018,368.242,374.015,367.380
12,372.527,370.010,389.236,376.971,372.384,380.726,374.663,366.168,370.497,366.205,364.111,379.951,368.812,373.784,367.731
13,372.462,370.885,389.374,377.252,372.676,380.265,374.498,366.509,371.175,366.327,364.085,379.849,368.647,374.152,368.463
14,372.996,371.937,389.409,376.869,372.571,380.191,373.642,367.333,371.356,365.797,364.500,380.155,367.795,374.569,369.116
15,373.881,372.712,389.262,376.061,371.954,380.550,373.107,368.016,370.923,365.246,365.043,380.521,367.099,374.551,369.366
16,374.996,372.958,389.012,375.098,371.274,381.172,373.782,367.904,370.344,365.481,365.165,380.581,367.165,374.563,369.305
17,375.747,372.618,388.734,374.282,370.881,382.113,375.280,367.101,370.187,366.538,364.702,380.401,367.568,374.767,369.036
18,375.534,371.717,388.450,374.116,370.895,383.402,376.638,366.520,370.567,367.643,364.000,380.180,367.810,374.660,368.823
19,374.581,370.806,388.146,374.556,370.589,384.777,377.276,366.608,371.028,368.305,363.301,380.116,367.425,374.104,368.939
20,373.592,370.754,387.834,375.063,369.731,385.888,377.160,367.093,371.049,368.276,362.764,379.880,366.649,373.662,369.499
21,373.079,371.408,387.576,375.220,368.822,386.547,376.630,367.192,370.567,367.727,362.511,379.539,366.202,373.655,369.845
22,372.747,372.099,387.374,374.977,368.142,386.741,376.029,366.653,370.107,366.884,362.048,379.514,366.553,373.970,369.557
23,372.300,372.440,387.315,374.667,367.575,386.665,375.716,365.867,369.896,366.319,361.239,379.947,367.286,374.046,369.097
24,371.791,372.733,387.380,374.479,367.037,386.554,375.654,365.488,370.028,366.427,360.696,380.511,367.617,373.538,369.019
25,371.776,373.304,387.492,374.427,366.635,386.548,375.523,365.733,370.092,367.046,361.023,380.493,367.215,372.609,369.537
26,372.693,373.848,387.569,374.597,366.721,386.698,375.029,366.525,369.442,367.643,361.784,379.757,366.395,371.655,370.296
27,373.884,373.733,387.539,374.805,367.489,386.890,374.284,367.469,368.503,368.081,362.554,378.750,365.669,370.906,370.684
