 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
1,482.927,539.855,479.464,462.143,442.358,445.768,449.880,455.149,446.406,435.642,454.972,447.571
2,482.206,539.989,479.921,461.922,443.367,446.687,450.645,454.654,446.696,435.257,454.090,446.746
3,481.097,539.828,480.291,461.238,444.016,447.493,451.079,454.030,447.389,435.591,453.277,446.101
4,479.903,539.346,480.184,460.249,444.633,447.715,451.144,453.584,448.464,436.149,452.521,446.246
5,479.031,538.708,479.447,459.437,445.214,447.292,451.244,453.309,449.453,435.821,451.833,447.115
6,478.475,537.970,478.271,459.207,445.196,447.088,451.402,452.952,449.902,434.546,451.193,448.228
7,478.153,537.008,477.102,459.462,444.791,447.711,451.609,452.595,449.940,433.349,450.863,448.979
8,478.044,535.791,476.378,459.681,444.766,448.574,451.777,452.654,449.617,433.078,451.075,449.355
9,477.902,534.284,476.199,459.555,445.331,448.542,451.774,452.762,449.343,433.570,451.536,449.370
10,477.661,532.789,475.855,459.092,445.800,447.958,451.497,452.398,449.462,434.275,451.833,448.944
11,477.151,531.479,474.927,458.378,445.755,447.482,450.962,451.584,449.923,434.675,452.002,448.482
12,476.308,530.373,473.748,457.501,445.583,447.310,450.380,450.520,450.091,434.812,452.163,448.429
13,475.432,529.424,472.842,456.773,445.595,447.532,449.955,449.777,449.623,434.788,452.262,448.633
14,474.597,528.579,472.423,456.227,445.543,448.088,449.827,449.606,448.670,434.633,452.264,448.574
15,473.995,527.857,472.581,455.868,445.158,448.532,449.973,449.669,447.849,434.033,452.137,448.112
16,473.898,527.214,472.861,455.641,444.755,448.704,450.220,449.743,447.745,433.212,451.766,447.325
17,474.348,526.514,472.575,455.356,444.750,448.810,450.155,449.610,448.013,432.958,450.818,446.772
18,474.479,525.573,471.436,454.885,445.164,448.908,449.897,448.978,448.204,433.779,449.869,446.820
19,473.661,524.404,469.994,454.297,445.554,449.127,449.730,447.799,448.055,435.102,449.803,447.405
20,472.310,523.076,468.934,453.891,445.698,449.585,449.620,446.762,447.409,436.170,450.363,447.926
21,471.302,521.718,468.498,453.689,445.698,449.986,449.329,446.613,446.509,436.672,450.755,447.891
22,470.495,520.370,468.679,453.353,445.736,450.201,448.773,447.431,445.821,436.869,450.479,447.414
23,469.499,519.561,469.184,452.745,445.696,450.197,448.218,448.929,445.566,436.752,450.107,446.651
24,468.617,520.470,469.314,452.521,445.477,450.366,447.942,450.572,445.728,436.158,450.094,445.867
25,468.226,524.609,468.665,453.291,445.725,450.754,448.195,452.178,446.087,435.522,450.232,445.530
26,467.964,532.532,467.562,455.314,446.680,450.581,448.788,453.766,446.470,435.603,450.165,445.855
27,467.576,542.456,466.727,457.950,448.056,449.771,449.115,455.472,446.932,436.057,449.710,446.278
28,467.253,551.474,466.400,460.613,449.568,449.137,448.948,457.353,447.517,436.260,449.105,446.109
29,467.124,558.083,466.256,463.148,450.847,449.187,448.427,458.914,448.015,436.251,448.506,445.346
30,466.812,562.657,466.047,465.630,451.399,449.482,447.998,459.487,448.396,436.170,448.077,444.624
31,466.242,565.779,465.758,467.420,451.173,449.289,447.885,458.714,449.000,436.546,447.747,444.260
32,465.796,567.737,465.276,468.162,450.565,448.796,447.994,457.290,449.847,437.424,447.412,444.154
33,465.832,568.593,464.654,468.356,450.092,448.673,448.082,455.952,450.426,438.484,447.197,444.234
34,466.111,568.572,464.246,468.798,449.831,449.046,448.138,455.238,450.379,439.248,447.296,444.731
35,466.246,568.168,464.321,469.339,449.536,449.398,448.262,455.260,450.126,439.696,447.721,445.473
36,466.155,567.851,464.688,469.165,448.881,449.278,448.361,455.810,450.264,439.872,448.300,445.864
37,465.973,567.791,465.038,468.518,448.052,448.905,448.598,456.249,450.755,439.848,449.195,445.805
38,465.749,567.606,465.179,468.120,447.077,448.440,449.229,456.480,451.170,439.696,450.373,445.627
39,465.667,566.864,464.846,468.129,446.268,448.306,450.295,456.855,450.970,439.490,451.530,445.722
40,465.925,565.651,463.874,467.860,445.752,448.722,451.391,457.375,450.172,439.651,452.624,445.867
41,466.395,564.261,462.690,466.950,445.459,449.282,451.950,457.086,449.238,440.358,453.785,445.512
42,466.687,562.788,461.831,466.325,445.304,449.465,452.042,455.476,448.787,441.361,454.764,444.840
43,466.949,561.156,461.677,466.574,445.194,448.968,451.967,453.636,449.379,441.693,455.459,444.636
44,467.381,559.265,462.019,467.571,445.056,448.285,451.992,452.777,450.591,441.146,455.730,445.151
