 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22
1,262.032,284.952,269.850,265.098,271.483,266.137,258.164,259.184,265.843,248.763,249.392,261.466,379.549,256.857,247.116,255.482,255.561,253.604,259.986,256.060,255.899,261.201
2,263.106,285.184,269.519,264.821,272.014,265.421,257.857,257.863,264.642,249.618,249.192,260.552,379.429,256.643,247.019,255.879,255.360,253.652,259.711,256.499,256.137,260.616
3,263.571,285.535,269.829,264.637,272.847,264.970,257.454,256.875,262.935,251.048,249.539,259.574,379.011,256.337,246.736,256.469,255.495,254.167,258.896,256.908,256.294,259.771
4,263.129,285.648,270.721,264.491,273.680,264.932,257.382,257.059,261.986,252.366,250.637,258.897,378.321,255.908,246.578,256.892,255.764,254.626,258.275,256.928,256.213,258.990
5,262.419,285.291,271.359,264.453,274.271,265.219,257.790,258.227,262.232,252.871,252.420,258.578,377.646,255.428,246.694,257.222,255.783,254.437,258.254,256.675,255.978,258.629
6,262.124,284.569,271.331,264.889,274.735,265.623,258.290,259.230,262.812,252.473,254.200,257.996,377.304,255.016,246.956,257.634,255.500,253.688,258.586,256.802,255.829,258.641
7,262.917,284.169,270.909,265.996,275.231,265.866,258.366,259.441,262.942,251.737,255.176,257.260,377.286,254.789,247.295,258.108,255.257,252.877,258.582,257.429,255.678,259.012
8,264.419,284.216,270.373,267.637,275.729,265.844,258.046,259.438,262.894,251.258,255.000,257.049,377.349,254.739,247.702,258.505,255.147,252.541,257.929,257.904,255.479,259.502
9,265.719,284.429,269.819,268.944,276.025,265.642,257.758,259.957,263.229,250.946,254.306,257.668,377.286,254.753,248.139,258.922,254.893,252.682,257.168,257.614,255.103,259.765
10,266.401,284.553,269.275,269.479,276.073,265.322,257.747,260.762,263.952,250.914,253.735,258.758,377.147,254.916,248.466,259.397,254.435,253.190,256.868,256.889,254.829,259.508
11,266.811,284.678,268.892,269.333,276.154,265.131,257.912,261.094,264.744,251.425,253.633,259.946,377.292,255.265,248.549,259.903,254.248,253.643,256.975,256.357,254.839,258.970
12,267.465,284.936,268.725,269.154,276.450,264.929,257.873,260.922,265.051,252.000,253.812,260.937,377.788,255.793,248.118,260.288,254.579,253.723,257.214,256.484,254.847,258.592
13,268.258,285.077,268.557,269.496,276.731,264.721,257.482,260.543,264.700,252.054,254.078,261.404,377.993,256.227,247.540,260.178,254.794,253.606,257.204,257.005,254.734,258.309
14,268.479,284.906,268.261,270.021,276.687,264.656,256.880,260.164,263.986,251.597,254.429,260.987,377.544,256.143,247.165,259.636,254.540,253.626,257.311,257.053,254.829,258.221
15,267.654,284.421,267.962,270.538,276.579,264.615,256.399,259.832,263.471,251.527,254.690,259.906,376.613,255.518,247.240,258.920,254.262,253.894,257.593,256.219,255.095,258.269
16,266.406,283.887,267.648,270.927,276.663,264.342,256.237,259.797,263.311,252.005,254.584,258.951,375.757,254.829,247.498,258.400,254.509,254.143,257.661,255.014,255.217,258.378
17,265.756,283.592,267.209,271.286,277.074,263.719,256.382,259.832,263.119,252.441,254.139,258.794,375.345,254.584,247.603,258.402,255.105,253.968,257.446,254.318,255.175,258.400
18,265.968,283.626,266.861,271.714,277.738,263.161,256.302,259.797,262.727,252.516,253.478,259.511,375.464,254.653,247.578,258.727,255.547,253.396,257.471,254.376,255.151,258.596
19,266.378,283.703,267.031,271.949,278.582,262.757,255.424,259.762,262.229,252.027,252.698,260.538,375.978,254.747,247.443,258.740,255.589,252.602,257.793,254.696,255.022,258.753
20,266.207,283.544,267.756,271.812,279.454,262.705,254.111,259.523,261.877,251.409,252.029,261.404,376.845,254.771,247.112,258.342,255.290,252.093,257.811,254.766,254.644,258.709
21,265.977,283.079,268.895,271.573,280.214,263.022,253.237,258.738,261.812,250.957,251.616,261.655,378.018,254.673,246.603,257.922,254.717,252.017,257.350,254.636,254.252,258.482
22,266.539,282.555,269.972,271.513,280.706,263.593,253.138,258.012,261.754,250.710,251.461,261.327,379.307,254.353,246.192,257.512,254.037,252.398,256.654,254.658,254.167,258.291
23,267.742,282.225,270.481,271.573,280.895,264.142,253.452,258.137,261.594,250.140,251.465,260.771,380.395,253.940,246.175,257.224,253.579,252.993,256.146,254.631,254.233,258.016
24,268.876,282.047,270.418,271.752,280.894,264.284,253.530,259.234,261.826,249.199,251.698,260.318,380.958,254.082,246.529,257.353,253.530,253.608,255.986,254.663,254.268,257.743
25,269.327,281.591,270.422,272.038,280.812,264.000,253.320,260.141,262.655,248.677,252.237,260.058,381.061,254.930,246.943,258.013,253.636,254.128,256.200,255.000,254.429,257.733
26,269.585,280.766,270.864,272.252,280.722,263.197,253.440,260.395,263.297,249.005,252.702,259.803,381.128,255.904,247.278,258.856,253.741,254.240,256.446,255.713,254.909,258.124
27,270.194,279.953,271.286,272.389,280.814,262.309,254.212,260.121,262.956,249.796,252.690,259.717,381.401,256.703,247.316,259.600,253.949,253.846,256.546,256.386,255.519,258.612
28,271.005,279.435,271.380,272.440,281.180,261.598,255.295,259.559,262.222,250.419,252.061,259.700,381.568,257.281,247.097,259.977,254.411,253.043,256.307,256.778,255.883,258.819
29,271.198,278.993,271.540,272.406,281.607,261.139,255.749,258.934,261.993,250.919,251.347,259.717,381.208,257.801,247.025,260.032,255.009,252.381,255.950,256.923,255.684,258.639
30,270.659,278.232,271.756,272.265,281.680,260.921,255.065,258.246,262.075,251.188,250.976,259.462,380.402,258.131,247.272,259.444,255.488,252.290,255.504,256.892,254.942,258.275
31,269.949,277.368,271.875,272.060,281.376,261.139,254.062,257.699,261.952,251.005,251.065,258.946,379.819,258.133,247.785,258.471,255.673,252.626,255.089,256.798,254.054,257.876
32,269.700,276.968,271.624,271.915,281.007,261.661,253.749,257.441,261.693,250.387,251.388,258.776,379.693,258.223,248.475,257.638,255.498,252.751,254.811,256.875,253.467,257.631
33,269.641,277.175,271.449,271.731,280.749,262.011,254.233,257.398,261.614,249.839,251.494,258.996,379.426,258.677,249.293,257.302,254.923,252.502,254.975,256.966,253.199,257.462
34,269.733,277.496,271.544,271.453,280.535,261.746,255.032,257.336,261.990,249.317,251.343,259.202,378.684,259.518,249.971,257.226,254.329,252.119,255.671,256.737,253.066,257.265
35,269.871,277.400,271.613,271.103,280.332,260.995,255.583,256.926,262.556,248.575,251.082,259.305,377.491,260.122,250.397,257.330,254.264,251.864,256.432,256.063,252.785,257.058
36,270.424,276.912,271.415,270.991,280.330,259.948,255.650,256.461,262.577,247.833,250.771,259.673,376.248,260.074,250.683,257.746,254.687,251.803,256.646,255.458,252.557,256.988
37,271.115,276.700,271.132,270.927,280.534,259.232,255.281,256.430,261.949,247.624,250.653,260.099,375.336,259.365,250.871,258.442,255.103,251.643,256.236,255.349,252.775,257.129
38,271.429,277.142,271.240,270.915,280.682,259.284,254.608,256.785,261.314,248.247,250.902,260.184,374.807,258.691,250.920,259.178,255.133,251.242,255.564,255.646,253.316,257.112
39,271.230,277.756,271.909,270.526,280.487,260.000,253.984,257.023,261.075,249.140,251.147,260.049,374.283,258.131,251.067,259.622,254.949,250.569,255.086,256.123,253.783,256.576
40,270.691,277.830,272.422,269.688,280.147,260.563,253.756,256.941,260.884,249.989,251.159,259.915,373.392,257.538,251.236,259.605,254.806,250.121,254.789,256.694,253.988,255.890
