 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13
1,317.129,324.332,312.002,308.445,321.219,320.134,314.181,325.606,324.862,337.209,312.272,315.396,311.356
2,316.451,324.827,311.960,308.067,321.007,320.336,313.407,326.465,325.186,336.998,311.450,316.010,311.806
3,316.057,325.080,312.061,307.830,320.439,320.445,312.597,326.891,325.237,337.013,311.010,316.399,312.471
4,316.044,324.873,312.209,307.461,319.798,320.339,312.058,326.755,324.968,336.905,311.054,316.507,313.075
5,316.157,324.268,312.366,306.667,319.664,320.138,311.656,326.607,324.572,336.382,311.274,316.654,313.620
6,316.148,323.700,312.413,305.748,320.108,320.059,311.440,326.761,324.266,335.372,311.253,317.157,314.121
7,315.847,323.555,312.281,305.190,320.759,320.066,311.519,327.000,324.085,334.269,311.080,317.789,314.527
8,315.405,324.125,312.101,305.202,321.095,319.984,311.812,327.103,324.143,333.558,310.981,318.085,314.679
9,315.112,324.960,311.966,305.589,321.127,319.732,311.844,327.050,324.432,333.369,311.018,317.803,314.695
10,314.877,325.559,311.693,306.101,321.006,319.416,311.511,326.853,324.685,333.400,310.854,317.261,314.707
11,314.572,325.523,311.557,306.477,321.004,319.175,311.105,326.593,324.699,333.312,310.594,316.797,314.717
12,314.193,324.992,311.608,306.511,321.282,318.880,310.829,326.396,324.549,333.072,310.456,316.551,314.675
13,314.081,324.280,311.690,306.404,321.667,318.517,310.680,326.333,324.270,332.995,310.492,316.266,314.651
14,314.235,323.590,311.587,306.612,321.841,318.142,310.699,326.242,323.811,333.158,310.665,315.785,314.954
15,314.456,322.958,311.266,307.046,321.748,317.792,310.859,326.191,323.186,333.553,310.830,315.335,315.626
16,314.551,322.463,310.939,307.300,321.626,317.492,311.057,326.208,322.691,333.972,310.935,315.227,316.406
17,314.432,322.330,310.671,306.950,321.570,317.260,311.202,326.190,322.461,334.228,310.921,315.476,316.952
18,314.337,322.400,310.416,306.140,321.434,317.090,311.132,325.972,322.360,334.049,310.849,315.908,317.156
19,314.491,322.441,310.063,305.333,320.811,316.941,310.857,325.725,322.338,333.372,310.778,316.071,317.206
20,314.710,322.487,309.684,304.989,319.686,316.748,310.515,325.610,322.404,332.535,310.540,315.864,317.160
21,314.784,322.668,309.514,305.034,318.602,316.474,310.157,325.486,322.535,331.909,310.182,315.493,316.701
22,314.703,322.726,309.624,305.275,318.327,316.149,309.947,325.135,322.693,331.667,310.039,315.353,316.036
23,314.398,322.575,309.693,305.420,318.725,316.009,310.030,324.569,322.806,331.804,310.053,315.490,315.687
24,313.919,322.471,309.331,305.355,318.993,316.073,310.356,323.997,322.831,332.101,309.939,315.640,315.515
25,313.328,322.581,308.745,305.236,318.607,316.087,310.665,323.702,322.660,332.238,309.579,315.555,315.162
26,312.869,322.678,308.374,305.161,317.976,315.905,310.653,323.606,322.390,332.139,309.048,315.329,314.614
27,312.720,322.757,308.496,304.975,317.716,315.603,310.263,323.751,322.125,331.807,308.608,315.171,314.537
28,312.907,322.915,309.019,304.447,318.071,315.209,309.701,323.979,321.920,331.315,308.562,315.146,315.042
29,313.256,323.205,309.512,303.651,318.824,314.882,309.377,324.244,321.720,330.762,308.865,315.348,315.784
30,313.555,323.441,309.663,303.032,319.527,314.694,309.478,324.334,321.440,330.406,309.211,315.587,316.321
31,313.866,323.501,309.605,302.855,319.841,314.667,309.747,324.413,321.154,330.279,309.418,315.510,316.453
32,314.244,323.449,309.454,303.021,319.770,314.737,309.848,324.476,320.989,330.232,309.686,315.083,316.222
33,314.498,323.276,309.387,303.420,319.684,314.780,309.737,324.461,321.035,330.166,309.957,314.576,315.992
34,314.472,323.213,309.485,303.729,319.785,314.768,309.471,324.609,321.239,330.005,309.922,314.318,315.968
35,314.148,323.199,309.713,303.638,319.922,314.632,309.283,325.001,321.391,329.760,309.673,314.446,316.028
36,313.521,323.113,309.721,303.420,319.787,314.405,309.183,325.336,321.341,329.413,309.485,314.945,315.909
37,312.881,322.759,309.517,303.296,319.432,314.255,309.124,325.313,321.191,329.170,309.576,315.458,315.430
38,312.350,322.376,309.120,303.310,319.236,314.213,309.064,324.994,321.103,329.008,309.858,315.614,314.760
39,312.218,322.042,308.618,303.321,319.338,314.259,309.176,324.461,321.065,328.809,310.065,315.214,314.147
40,312.273,321.823,308.083,303.307,319.589,314.400,309.488,323.840,320.970,328.454,310.124,314.604,313.796
41,312.244,321.763,307.817,303.291,319.794,314.432,309.787,323.398,320.756,328.036,310.042,314.224,313.630
42,311.932,321.859,307.891,303.261,319.759,314.255,309.910,323.292,320.456,327.592,309.996,314.324,313.715
43,311.511,321.996,308.308,303.069,319.585,313.891,309.801,323.573,320.097,327.243,310.092,314.677,313.984
44,311.222,322.135,308.788,302.663,319.583,313.579,309.569,324.035,319.895,327.057,310.210,315.001,314.061
45,311.193,322.414,308.953,302.413,319.862,313.553,309.385,324.329,319.899,327.134,310.142,315.371,313.830
46,311.595,322.934,308.714,302.562,320.097,313.843,309.172,324.283,320.036,327.496,309.932,315.761,313.481
47,312.328,323.402,308.260,302.757,319.886,314.267,308.863,323.919,320.073,328.007,309.851,315.923,313.293
48,312.932,323.586,308.032,302.656,319.368,314.682,308.441,323.339,319.985,328.320,310.049,315.841,313.275
49,313.021,323.386,308.040,302.252,319.062,314.924,307.934,322.725,319.926,328.191,310.464,315.566,313.337
50,312.527,322.966,308.263,301.768,319.228,314.997,307.362,322.317,319.929,327.744,310.855,315.218,313.457
51,311.917,322.443,308.584,301.498,319.497,314.935,306.911,322.268,319.820,327.233,310.950,314.887,313.370
52,311.627,321.978,308.873,301.280,319.391,314.862,306.929,322.586,319.586,327.024,310.798,314.702,313.125
53,311.763,321.769,309.013,301.108,318.922,314.966,307.289,322.968,319.304,327.117,310.530,314.720,312.941
54,311.763,321.799,308.917,300.956,318.437,315.204,307.622,322.991,319.145,327.263,310.206,314.900,312.812
55,311.419,321.996,308.560,300.897,318.200,315.436,307.743,322.802,319.268,327.409,309.815,315.016,312.455
56,310.975,322.159,308.151,300.904,318.086,315.527,307.783,322.701,319.573,327.638,309.416,315.020,312.024
57,310.919,322.089,307.811,301.060,318.101,315.348,307.874,322.856,319.732,327.701,309.139,314.997,311.941
58,311.170,321.911,307.719,301.573,318.174,315.158,307.893,323.257,319.639,327.610,308.994,315.136,312.444
59,311.280,321.819,307.848,302.255,318.336,315.080,307.824,323.649,319.292,327.573,308.920,315.392,313.228
60,311.102,321.950,308.157,302.638,318.486,315.040,307.816,323.810,318.834,327.692,308.719,315.709,313.576
61,311.040,322.243,308.300,302.635,318.701,315.033,307.861,323.688,318.520,327.790,308.314,315.778,313.313
62,311.352,322.724,308.215,302.594,319.007,315.071,307.809,323.427,318.395,327.801,308.007,315.466,312.784
63,311.742,323.181,307.955,302.752,319.161,315.132,307.700,323.083,318.330,327.930,307.986,314.831,312.329
64,311.742,323.382,308.016,302.959,319.273,315.145,307.596,322.740,318.198,328.210,308.171,314.331,311.962
65,311.523,323.189,308.340,302.979,319.471,315.117,307.497,322.486,318.021,328.408,308.419,314.209,311.564
66,311.394,322.877,308.563,302.904,319.972,315.099,307.397,322.407,317.860,328.364,308.578,314.241,311.279
67,311.208,322.753,308.353,302.837,320.452,315.101,307.348,322.388,317.836,328.059,308.741,314.307,311.226
68,310.877,322.748,308.014,302.690,320.426,314.990,307.346,322.264,317.884,327.657,308.981,314.510,311.170
