 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14
1,330.066,304.492,300.086,292.836,302.671,292.919,298.852,339.526,312.956,297.044,339.927,321.462,307.444,321.700
2,330.499,303.967,300.185,294.311,302.948,292.908,299.610,340.267,312.844,297.836,339.941,321.431,307.345,321.603
3,330.728,303.712,299.448,295.535,302.986,293.416,299.795,340.963,312.423,298.498,339.581,321.388,307.044,320.938
4,330.415,303.501,298.132,296.217,302.968,294.204,299.474,341.558,311.816,298.892,338.998,321.168,306.623,320.122
5,329.635,303.122,296.856,296.462,303.153,294.636,299.098,342.013,311.330,299.015,338.333,321.053,306.281,319.621
6,328.868,302.854,296.115,296.583,303.620,294.317,298.885,342.213,311.022,298.852,337.623,320.896,306.207,319.238
7,328.328,302.656,295.571,296.949,304.190,293.581,298.539,342.052,310.750,298.478,336.989,320.520,306.236,318.762
8,328.051,302.440,294.856,297.518,304.548,292.880,298.083,341.638,310.382,298.349,336.546,319.775,306.123,318.536
9,327.822,302.253,294.276,297.886,304.548,292.584,297.760,341.215,309.939,298.516,336.274,319.104,305.875,318.746
10,327.323,302.048,294.120,297.725,304.438,292.806,297.635,340.734,309.642,298.557,336.185,318.852,305.790,319.067
11,326.655,301.824,294.170,297.159,304.761,292.974,297.612,340.128,309.516,298.197,336.127,318.763,305.838,319.030
12,326.124,301.702,294.384,296.495,305.138,292.516,297.917,339.395,309.365,297.308,336.051,318.331,305.781,318.587
13,325.665,301.344,294.547,296.053,304.988,291.610,298.478,338.709,309.184,296.297,335.776,317.325,305.725,318.012
14,325.148,300.527,294.475,295.629,304.182,290.869,298.843,338.183,309.003,295.653,335.293,316.125,305.914,317.679
15,324.662,299.651,294.117,295.114,303.032,290.872,298.846,337.854,308.854,295.595,334.738,315.275,305.930,317.642
16,324.367,299.333,293.592,294.919,302.089,291.366,298.699,337.625,308.597,295.770,334.289,314.950,305.318,317.871
