 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15
1,215.389,244.566,238.389,216.541,202.773,204.981,200.194,214.754,229.984,217.207,197.633,214.268,223.862,213.301,238.403
2,214.346,245.811,238.132,215.643,202.424,205.117,200.512,214.566,230.225,217.771,196.989,214.170,223.401,213.316,238.336
3,213.346,246.367,237.924,214.623,202.131,205.320,200.894,214.441,230.205,218.017,196.199,213.635,222.880,212.881,238.445
4,212.512,246.039,237.340,213.598,201.891,205.592,201.249,214.247,230.039,217.793,195.530,212.889,222.428,212.192,238.687
5,212.034,245.835,236.278,212.988,201.576,205.649,201.599,214.034,230.231,217.350,194.991,212.515,222.220,211.665,238.616
6,211.812,246.282,235.674,212.980,201.419,205.462,202.074,214.031,230.972,217.155,194.609,212.645,222.336,211.350,237.863
7,211.735,247.245,236.194,213.393,201.306,205.098,202.493,214.312,231.740,217.057,194.504,212.755,222.737,211.274,237.033
8,211.923,247.850,237.715,213.807,201.079,204.706,203.023,214.480,231.844,216.803,194.794,212.647,223.196,211.323,236.384
9,212.093,247.664,239.319,213.820,200.834,204.288,203.650,214.258,231.153,216.394,195.293,212.405,223.521,211.306,236.028
10,212.179,246.873,240.319,213.557,200.681,203.810,204.203,213.822,230.257,216.202,195.870,211.993,223.606,211.129,235.592
11,212.170,245.868,240.569,213.439,200.782,203.278,204.318,213.559,229.892,216.271,196.323,211.501,223.535,211.177,235.460
12,212.299,245.160,240.514,213.385,201.157,202.873,204.028,213.608,229.973,216.453,196.616,211.429,223.281,211.357,235.844
13,212.651,245.147,239.986,213.283,201.707,202.962,203.853,213.789,230.149,216.837,196.693,211.919,222.824,211.468,236.517
14,212.904,245.486,239.097,213.115,202.135,203.516,203.691,213.807,230.110,217.273,196.508,212.525,222.218,211.483,236.981
15,212.858,245.680,237.882,212.934,201.983,203.636,203.134,213.529,230.048,217.618,196.197,212.698,221.826,211.541,236.872
16,212.676,245.251,236.833,212.709,201.472,203.108,202.323,213.223,230.077,217.894,195.997,212.631,221.782,211.726,236.294
17,212.534,244.372,236.354,212.611,200.978,202.560,202.018,213.092,230.149,217.963,195.885,212.671,221.960,212.153,235.597
18,212.617,243.504,236.535,212.656,200.852,202.668,202.636,213.035,230.092,217.732,195.853,212.902,222.022,212.728,235.299
19,212.765,243.028,236.986,212.824,200.930,203.715,203.336,212.712,229.924,217.419,195.841,213.043,221.811,213.046,235.242
20,212.738,242.868,237.222,213.057,201.214,205.095,203.166,212.159,229.582,217.030,195.819,212.973,221.512,212.913,234.934
21,212.574,242.656,237.257,213.049,201.489,205.816,202.051,211.715,228.896,216.783,196.052,212.739,221.339,212.515,234.498
22,212.358,242.266,237.028,212.406,201.808,205.206,200.816,211.603,228.137,216.618,196.558,212.395,221.441,212.092,234.502
23,211.923,242.189,236.792,211.279,202.100,203.965,200.350,211.711,227.776,216.677,197.018,211.961,221.664,211.816,234.749
24,211.463,242.767,236.590,210.553,202.454,203.231,200.733,211.809,227.866,217.005,197.061,211.585,221.780,211.786,234.621
25,211.293,243.574,236.618,210.799,202.668,203.437,201.599,211.888,228.000,217.537,196.721,211.343,221.802,211.956,234.047
26,211.796,244.049,236.819,211.561,202.533,204.222,202.369,211.848,228.086,218.200,196.385,211.199,221.911,212.226,233.156
27,212.778,243.798,236.924,212.102,202.048,204.918,202.880,211.688,228.048,218.643,196.270,211.050,222.029,212.493,232.445
28,213.639,243.137,236.806,212.209,201.480,205.472,203.014,211.562,227.950,219.089,196.472,210.897,222.045,212.663,232.242
29,213.787,242.543,236.271,212.102,201.410,205.902,202.806,211.558,227.843,219.475,196.904,210.832,221.699,212.765,232.820
30,213.235,242.354,235.458,211.770,202.122,206.199,202.309,211.628,227.827,219.660,197.279,210.921,221.143,212.845,233.749
