 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9
1,228.002,241.299,268.796,217.462,236.756,229.197,205.930,227.140,230.981
2,228.295,241.382,268.976,217.167,236.044,228.404,206.482,226.591,230.564
3,228.627,241.324,269.122,216.705,235.261,227.197,206.989,226.112,230.199
4,228.929,241.172,269.320,216.082,234.677,225.839,207.401,225.883,229.931
5,229.315,240.887,269.552,215.626,234.078,224.812,207.566,225.753,229.713
6,229.562,240.446,269.736,215.632,233.255,224.339,207.501,225.504,229.419
7,229.576,239.971,269.747,216.122,232.323,224.046,207.515,225.095,228.984
8,229.429,239.582,269.476,216.584,231.538,223.839,207.853,224.561,228.618
9,229.433,239.271,269.088,216.813,231.184,223.757,208.287,223.972,228.465
10,229.582,238.747,268.724,216.669,230.930,223.959,208.517,223.479,228.479
11,229.761,237.943,268.553,216.334,230.564,224.193,208.387,223.198,228.645
12,229.881,237.178,268.623,216.091,229.979,224.436,207.918,223.180,228.612
13,229.856,236.755,268.889,216.340,229.369,224.596,207.499,223.201,228.388
14,229.797,236.709,269.497,217.028,229.113,224.651,207.471,222.979,228.159
15,229.771,236.874,270.043,217.601,229.244,224.491,207.762,222.559,228.029
16,229.713,237.090,270.169,217.703,229.481,224.060,207.972,222.041,228.057
17,229.293,237.168,269.883,217.453,229.348,223.404,207.783,221.695,228.194
18,228.632,237.016,269.470,217.289,228.967,222.798,207.319,221.705,228.273
19,228.177,236.812,269.297,217.156,228.497,222.436,207.096,222.159,228.337
20,228.144,236.662,269.326,217.025,228.164,222.583,207.285,222.682,228.517
21,228.254,236.701,269.236,217.045,228.100,223.142,207.758,222.963,228.656
22,228.651,236.861,268.956,217.003,228.058,223.532,208.110,222.822,228.367
23,229.323,236.987,268.617,216.793,227.846,223.206,208.163,222.486,227.758
24,229.938,237.000,268.558,216.671,227.631,222.463,208.018,222.335,227.351
25,230.170,236.980,268.655,216.802,227.801,222.055,207.949,222.585,227.429
26,230.082,237.074,268.599,216.929,228.241,222.018,207.919,223.057,227.993
27,229.644,237.454,268.294,216.533,228.715,221.945,207.834,223.373,228.386
28,229.041,238.002,268.061,215.754,228.892,221.633,207.856,223.350,228.247
29,228.582,238.353,268.098,215.428,228.679,221.151,208.121,223.021,227.704
30,228.297,238.160,268.159,215.827,228.269,220.739,208.615,222.596,227.211
31,228.004,237.636,268.023,216.518,228.046,220.922,208.974,222.391,227.216
