 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,MEan7,Mean8,Mean9,Mean10
1,-1.458659314,0.064670431,0.869251003,0.234089215,0.164714588,-0.003388772,-0.355837752,-0.562726645,-1.05521237,0.689898346
2,-1.460462409,0.10795476,0.884661626,0.236768918,0.169971693,-0.002750368,-0.338520443,-0.572302108,-1.049187086,0.668090646
3,-1.464069181,0.144278313,0.905734247,0.240812172,0.181907398,-0.000662091,-0.317686946,-0.578263062,-1.059019289,0.645611195
4,-1.468825565,0.171669359,0.93179069,0.24478158,0.199996852,0.002568012,-0.295126948,-0.580081945,-1.086715021,0.624007118
5,-1.474088031,0.18924315,0.961578965,0.247241418,0.223199859,0.006466967,-0.272259066,-0.577672741,-1.134827941,0.604729595
6,-1.479173279,0.196941897,0.993138492,0.247113094,0.250379204,0.01033219,-0.250095451,-0.571407983,-1.203229447,0.588997859
7,-1.483489535,0.195810595,1.024375568,0.243571363,0.280051172,0.01356766,-0.229029361,-0.562007472,-1.289559086,0.577590057
8,-1.486654231,0.187530164,1.052936268,0.236271066,0.310762456,0.015485752,-0.209196773,-0.55061345,-1.389279153,0.57112959
9,-1.488347553,0.174480644,1.076661408,0.225419758,0.341202651,0.015532166,-0.190495639,-0.538493885,-1.495833061,0.569893265
10,-1.488605961,0.15934,1.094074876,0.211725546,0.370159102,0.013234445,-0.17263701,-0.527255398,-1.601086077,0.573518027
11,-1.487663249,0.144612033,1.104056011,0.196087508,0.39675806,0.008400205,-0.155538613,-0.518215475,-1.696558707,0.581444888
12,-1.485646431,0.132373318,1.106408974,0.179674909,0.420244647,0.000886252,-0.139111619,-0.512601317,-1.774345237,0.592796212
13,-1.482933151,0.124182963,1.101581593,0.1634875,0.440280114,-0.009449062,-0.123610251,-0.511384965,-1.828629255,0.606682437
14,-1.479645263,0.120675411,1.090786066,0.148540406,0.456693256,-0.022349775,-0.109479289,-0.515071952,-1.857060711,0.621816533
15,-1.47586588,0.121560031,1.075494367,0.135568628,0.469650406,-0.037702837,-0.097167673,-0.523652864,-1.860384052,0.636998404
16,-1.471695004,0.126206153,1.057429115,0.124893617,0.479485209,-0.05501677,-0.087284027,-0.536741105,-1.841992647,0.650764308
17,-1.466940755,0.133267464,1.038290663,0.116727304,0.486965524,-0.073976741,-0.08018148,-0.553550391,-1.809071654,0.66194052
18,-1.461672444,0.141281969,1.019710227,0.110873228,0.492832249,-0.093665163,-0.076173328,-0.572943713,-1.770563001,0.669201154
19,-1.455852907,0.148827924,1.002889696,0.107113903,0.497917362,-0.113191923,-0.075380316,-0.593603356,-1.735621215,0.671502416
20,-1.449493809,0.154965609,0.988507191,0.104976599,0.503254937,-0.131526606,-0.077510952,-0.614063314,-1.712644907,0.668136317
21,-1.442913823,0.159325355,0.977179642,0.103957275,0.50962416,-0.147621355,-0.082368758,-0.632903194,-1.707535608,0.658920707
22,-1.436443017,0.161900448,0.968764483,0.103550896,0.517700311,-0.160293622,-0.089062455,-0.64875661,-1.724146807,0.643983025
23,-1.430617805,0.163272674,0.962953434,0.103232179,0.52770805,-0.168766984,-0.0969397,-0.6604911,-1.76141173,0.624250261
24,-1.42590536,0.164161863,0.959326995,0.10261181,0.539611909,-0.172526598,-0.105178618,-0.667363033,-1.815195398,0.601228937
25,-1.422622807,0.165173073,0.957190256,0.101245964,0.552992511,-0.171592535,-0.11312391,-0.668917209,-1.878051989,0.576682577
26,-1.420941606,0.166586469,0.955809194,0.098910238,0.566971399,-0.166469439,-0.120316379,-0.665075039,-1.940665599,0.552518451
27,-1.420691281,0.168440858,0.954494827,0.095461655,0.580552387,-0.158316788,-0.126228005,-0.656308561,-1.993576653,0.530791778
28,-1.421376653,0.169927053,0.952760563,0.09069352,0.592478188,-0.148769768,-0.130635908,-0.643447592,-2.027667779,0.513074971
29,-1.42233341,0.169880526,0.950087835,0.084688589,0.601827841,-0.139768264,-0.133654997,-0.627737002,-2.036265411,0.500414524
30,-1.422553713,0.166728308,0.946312345,0.07754187,0.607667923,-0.133000491,-0.135572491,-0.61087261,-2.016069286,0.493202786
31,-1.420932464,0.159526763,0.941133874,0.069481472,0.609591374,-0.130192619,-0.136957081,-0.594616622,-1.967328002,0.49084992
32,-1.416600802,0.147114178,0.934597575,0.060779144,0.60749598,-0.132405317,-0.138346084,-0.580947813,-1.89456379,0.492191811
33,-1.408958762,0.12910315,0.926766327,0.051719739,0.601637001,-0.14020488,-0.140616412,-0.571489804,-1.805118102,0.495374419
34,-1.397665588,0.106167756,0.917813598,0.042560676,0.592809678,-0.153149681,-0.144433296,-0.567526153,-1.707969669,0.498348099
35,-1.382861721,0.079391888,0.907742516,0.033545805,0.581879531,-0.170251113,-0.150372409,-0.56982883,-1.613335993,0.499166933
36,-1.365231326,0.050892947,0.89673366,0.024835781,0.569993024,-0.189922972,-0.158918941,-0.578456012,-1.529845025,0.496253897
37,-1.345636663,0.022824832,0.884702044,0.016516438,0.558295572,-0.210218716,-0.170205334,-0.592683934,-1.46355327,0.488590355
38,-1.325367856,-0.002451227,0.871545268,0.008485106,0.54781643,-0.229166951,-0.184186475,-0.611122283,-1.417934263,0.475824696
39,-1.305638352,-0.023084233,0.857385496,0.000690257,0.53952236,-0.245123881,-0.200565666,-0.631758385,-1.392881166,0.458337656
40,-1.287791957,-0.037859889,0.842154898,-0.007065268,0.53411219,-0.256844063,-0.218813845,-0.652305386,-1.384734441,0.437046336
41,-1.272800547,-0.046541748,0.826042935,-0.014973675,0.53192103,-0.263717938,-0.238090367,-0.670465903,-1.388365774,0.413418363
42,-1.26135605,-0.049794005,0.809232692,-0.023221043,0.532892121,-0.265974118,-0.257404782,-0.684156895,-1.397006597,0.388903978
43,-1.253707242,-0.048932134,0.792444705,-0.031871102,0.536701195,-0.264533759,-0.27578692,-0.691852703,-1.405244588,0.365120045
44,-1.249686078,-0.04583522,0.77642399,-0.040862924,0.542545501,-0.260900327,-0.292185929,-0.692753447,-1.409244039,0.343111138
45,-1.248720705,-0.042452825,0.762211307,-0.050137309,0.549403818,-0.256841787,-0.305566917,-0.686826415,-1.406829393,0.323717843
46,-1.249922194,-0.040519703,0.750825824,-0.059545084,0.556012984,-0.254443143,-0.315033736,-0.674851963,-1.399143086,0.307460621
47,-1.252233395,-0.041075034,0.743483318,-0.068707914,0.560953544,-0.255411691,-0.320092813,-0.658273036,-1.38942094,0.294397394
48,-1.254896243,-0.044561104,0.740918642,-0.077218021,0.56291998,-0.261314916,-0.320288071,-0.639045356,-1.381474742,0.284585464
49,-1.256900745,-0.050450852,0.743351879,-0.084699835,0.560737052,-0.272968624,-0.315648855,-0.619167318,-1.379243371,0.277682147
50,-1.25764579,-0.057497198,0.750600154,-0.090678369,0.553556898,-0.290863407,-0.306520383,-0.600638547,-1.385775848,0.273689828
51,-1.257007918,-0.06396484,0.761809015,-0.094829887,0.541162124,-0.314721449,-0.293792521,-0.585131053,-1.402595073,0.272453394
52,-1.255100781,-0.067932927,0.775534748,-0.096748525,0.523880487,-0.343737364,-0.278387961,-0.573743226,-1.428366437,0.273862497
53,-1.252411588,-0.067709243,0.790152991,-0.096269597,0.502525839,-0.376413213,-0.261723219,-0.567019699,-1.459877806,0.277946841
54,-1.249519713,-0.061772572,0.803664858,-0.09339895,0.478506173,-0.41110273,-0.245297974,-0.564956342,-1.493000928,0.284329009
55,-1.247421378,-0.049595315,0.814299824,-0.088187499,0.453595602,-0.445739495,-0.230721294,-0.567037668,-1.523234608,0.292860942
