 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
1,296.942,315.436,325.404,324.537,318.495,306.267,317.939,326.621,327.607,324.708,329.190,328.948
2,297.626,317.033,324.901,323.786,317.706,305.205,318.605,327.746,327.054,324.809,328.854,327.288
3,298.191,318.401,324.645,323.129,316.977,304.618,319.566,328.930,326.668,324.206,328.256,326.075
4,298.711,318.938,324.490,322.667,316.762,304.667,320.522,329.624,326.760,323.278,327.613,325.213
5,299.088,318.650,324.283,322.187,316.911,304.757,321.129,329.337,327.124,322.730,327.169,324.217
6,299.043,317.970,324.141,321.571,316.879,304.500,321.122,328.332,327.487,322.775,326.941,323.315
7,298.812,317.274,324.148,320.585,316.459,304.122,320.588,327.436,327.667,323.132,326.973,323.127
8,298.508,316.648,324.307,319.850,315.971,303.776,319.902,327.173,327.406,323.463,327.078,323.536
9,297.845,316.455,324.367,319.769,315.880,303.797,319.693,327.242,326.610,323.567,327.079,323.981
10,296.599,317.076,324.154,320.381,316.256,304.356,320.166,327.258,325.894,323.391,327.002,324.536
11,295.419,318.263,323.834,321.296,316.722,305.326,320.878,327.263,325.912,322.988,326.926,325.131
12,294.994,319.138,323.784,322.095,317.141,306.276,321.156,327.460,326.708,322.977,327.016,325.693
13,295.280,319.244,324.148,322.330,317.647,306.734,320.659,327.930,328.041,324.043,327.304,325.715
14,295.824,318.916,324.689,322.211,318.360,306.674,319.720,328.664,329.585,326.056,327.857,325.187
15,296.325,318.702,325.159,322.429,318.831,306.472,318.880,329.479,331.278,328.310,328.846,324.292
16,296.964,318.846,325.552,323.190,318.506,306.533,318.288,329.995,332.916,330.016,330.018,323.423
17,297.462,319.325,325.711,323.918,317.560,307.049,317.885,330.348,334.054,331.157,330.865,323.300
18,297.614,319.680,325.528,324.252,316.509,307.837,317.595,330.766,334.384,332.092,331.141,324.030
19,297.188,319.466,324.982,324.541,315.557,308.693,317.312,331.291,333.934,332.994,331.051,324.738
20,296.356,319.005,324.428,324.993,314.667,309.076,316.902,331.923,333.276,333.981,331.009,325.124
21,295.815,318.740,324.035,325.551,314.156,308.882,316.395,332.694,333.137,335.061,331.080,325.079
22,295.918,318.846,323.490,325.898,314.362,308.401,316.195,333.453,333.771,336.106,331.348,324.757
23,296.374,319.060,322.618,326.245,315.034,308.092,316.561,333.931,334.533,336.690,331.746,324.127
24,296.872,319.206,321.722,326.639,315.377,308.226,317.290,334.032,334.767,336.617,332.302,323.633
25,297.225,318.986,321.431,326.813,315.150,308.566,317.546,334.203,334.436,336.088,332.746,323.824
26,297.164,318.594,321.718,326.833,314.537,308.833,317.037,334.867,333.874,335.473,332.830,324.629
27,296.611,318.469,322.325,326.755,313.960,308.830,316.280,335.760,333.223,335.084,332.410,325.464
28,295.964,318.439,322.654,326.650,313.548,308.615,315.746,336.327,332.604,334.913,331.878,325.828
29,295.739,318.119,322.408,326.558,313.380,308.410,315.583,336.242,332.384,334.779,331.530,325.408
30,295.964,317.528,321.612,326.643,313.317,308.632,315.785,335.694,332.661,334.598,331.279,324.150
31,296.243,316.959,320.790,326.915,313.069,309.094,316.224,334.981,332.767,334.497,330.782,323.041
