 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21
1,504.601,496.118,496.750,510.166,500.202,495.240,506.817,478.433,497.156,504.547,527.682,511.537,493.347,512.636,516.098,510.644,501.980,492.563,497.908,491.485,503.858
2,500.586,497.631,497.626,509.205,508.114,491.298,507.958,479.353,498.598,505.583,528.408,509.373,495.990,511.861,515.913,509.717,500.656,495.546,491.841,490.714,506.344
3,503.956,494.152,496.877,512.571,505.818,495.680,507.588,474.155,495.093,505.187,527.011,510.106,497.034,508.356,516.321,506.719,497.842,496.606,492.334,490.335,504.037
4,497.828,496.955,498.825,508.780,500.956,500.243,507.928,478.660,494.832,503.898,526.653,507.352,496.153,507.006,516.183,507.826,504.145,496.793,493.631,489.381,502.882
5,506.557,495.019,497.094,506.844,502.620,496.840,506.474,480.956,491.720,503.887,525.763,508.312,494.835,507.176,519.610,506.906,499.557,493.363,496.316,491.982,501.682
6,501.070,494.700,498.059,508.766,504.785,493.086,503.673,484.451,491.648,502.817,527.267,509.165,496.019,508.168,515.287,508.442,498.100,492.621,488.839,490.953,502.102
7,503.645,495.268,495.523,507.066,499.825,501.616,508.765,478.704,493.713,503.606,524.921,510.221,494.807,508.327,514.762,509.393,501.022,496.245,491.169,488.008,500.543
8,501.828,493.856,498.589,502.944,500.418,495.829,505.510,477.433,500.084,501.035,523.894,506.748,495.178,508.750,513.475,510.288,501.801,495.113,493.240,489.604,508.512
9,503.571,492.157,496.114,509.340,507.976,496.127,504.752,473.804,492.237,504.223,523.159,507.431,497.510,503.969,514.943,504.534,498.809,497.485,496.004,487.477,504.381
10,503.769,495.058,496.003,509.703,505.613,491.619,507.358,479.376,493.879,501.755,523.055,508.655,494.119,508.871,513.435,509.073,502.734,496.613,491.640,490.864,511.066
11,502.234,492.794,497.644,508.780,500.727,493.997,506.911,478.101,495.340,500.263,525.078,507.152,496.166,508.591,516.370,509.524,498.147,494.017,492.973,489.724,500.391
12,501.575,496.983,496.134,505.973,503.569,494.978,502.452,475.559,491.763,503.495,521.630,507.156,496.422,508.597,515.654,508.204,498.238,496.243,494.707,487.464,499.344
13,499.234,495.019,497.219,507.133,501.199,491.395,505.665,475.139,494.629,501.515,525.146,506.879,496.549,505.951,515.964,507.137,500.016,492.940,494.861,490.008,507.031
14,498.018,497.028,493.805,509.189,503.869,491.544,503.237,475.250,494.408,503.826,520.345,507.643,497.731,507.650,514.744,506.416,497.298,494.356,490.758,491.373,501.871
15,499.864,495.461,493.861,506.156,501.976,495.820,507.752,480.268,495.296,503.727,522.028,507.267,495.102,508.249,514.143,512.429,499.997,497.238,492.196,493.815,505.982
16,503.114,494.427,495.329,508.380,505.094,488.953,506.926,474.572,498.305,504.709,523.756,506.997,494.045,508.524,516.570,505.635,496.941,492.386,490.538,493.067,497.730
17,502.179,494.723,496.333,506.064,506.242,494.561,503.615,477.840,495.327,499.768,523.550,508.650,497.064,505.209,515.238,511.824,500.708,493.561,491.143,490.473,497.929
18,498.238,493.189,496.350,507.124,504.498,495.942,507.490,476.294,493.075,503.418,519.668,507.323,496.368,510.663,514.977,508.564,499.100,495.560,494.705,490.363,498.701
19,502.755,496.865,496.502,510.106,503.545,492.575,506.436,475.039,492.583,501.183,522.485,507.100,496.717,506.219,516.586,504.567,499.266,498.478,488.026,491.546,504.423
20,499.377,492.727,494.540,506.284,503.249,488.790,506.336,479.807,496.312,501.112,520.907,506.474,497.643,511.112,514.644,510.309,498.022,493.488,496.984,489.619,502.396
