 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17
1,516.488,504.880,503.074,516.106,532.785,530.158,497.048,507.648,526.138,517.677,513.822,518.347,488.971,482.534,502.038,516.490,505.512
2,516.867,504.658,503.309,515.398,531.710,529.955,496.563,506.879,526.480,517.770,513.888,517.710,488.196,481.650,501.998,515.488,505.537
3,516.872,504.377,503.607,514.917,530.778,529.535,495.879,506.477,526.927,517.745,513.516,517.080,487.659,480.395,501.804,514.573,505.717
4,516.094,503.982,503.775,514.706,530.232,528.990,495.193,506.594,527.122,517.426,512.733,516.310,487.564,479.326,501.301,514.020,505.770
5,514.892,503.488,503.505,514.489,529.993,528.596,494.963,507.083,526.729,516.855,511.799,515.252,487.770,478.956,500.940,513.758,505.676
6,513.814,502.906,503.021,514.094,529.511,528.291,495.265,507.492,525.749,516.298,511.164,514.080,487.988,479.292,500.833,513.715,505.768
7,513.512,502.455,502.881,513.624,528.406,527.952,495.885,507.505,524.506,515.926,510.886,513.218,487.942,479.757,500.658,513.693,506.379
8,514.020,502.251,503.456,513.158,526.987,527.436,496.360,507.167,523.518,515.670,510.714,513.020,487.673,480.086,500.199,513.618,507.357
9,514.874,502.238,504.319,512.762,525.961,526.868,496.405,506.927,523.298,515.511,510.437,513.281,487.564,480.515,499.464,513.591,507.924
10,515.413,502.369,505.063,512.558,525.575,526.350,496.223,506.932,523.746,515.547,510.340,513.238,487.523,480.892,498.964,513.795,507.670
11,515.379,502.357,505.221,512.633,525.662,525.860,495.954,506.954,524.450,515.838,510.495,512.657,487.213,480.667,499.067,514.230,506.762
12,514.906,502.147,504.628,512.778,525.789,525.440,495.574,506.817,525.012,516.200,510.692,512.147,486.806,479.775,499.623,514.697,505.885
13,514.388,501.864,503.607,512.745,526.057,525.069,495.177,506.589,524.998,516.543,510.716,512.381,486.409,479.042,500.259,515.067,505.438
14,514.162,501.757,502.540,512.619,526.566,524.746,495.053,506.653,524.361,516.992,510.315,513.091,486.131,478.966,500.621,515.281,505.104
15,514.151,501.841,501.825,512.443,527.226,524.535,495.238,507.002,523.552,517.455,509.673,513.624,485.932,479.034,500.556,515.219,504.561
16,514.176,501.986,501.695,512.187,527.450,524.603,495.485,507.207,523.213,517.664,509.066,514.080,485.722,478.534,500.261,514.913,504.070
17,514.081,501.964,502.214,511.929,527.040,524.740,495.514,507.084,523.468,517.502,508.872,514.606,485.722,477.836,500.013,514.557,503.926
18,513.891,501.758,503.421,511.716,526.197,524.667,495.322,506.818,523.890,516.972,509.159,515.022,485.869,477.647,500.152,514.366,504.059
19,513.791,501.469,504.614,511.404,525.208,524.317,494.986,506.600,524.040,516.498,509.872,514.866,486.155,478.100,500.444,514.329,504.271
20,513.861,501.281,505.291,511.002,524.143,523.680,494.530,506.552,523.697,516.317,510.836,513.989,486.458,478.672,500.473,514.467,504.504
21,513.927,501.260,505.035,510.549,523.097,522.809,494.180,506.648,522.982,516.494,511.493,513.018,486.879,478.833,500.424,514.726,504.574
22,513.880,501.315,504.112,510.020,522.224,521.952,494.298,506.802,522.130,516.889,511.544,512.470,487.213,478.762,500.792,514.738,504.129
23,513.672,501.141,503.067,509.599,521.779,521.339,494.525,506.864,521.474,516.960,511.132,512.325,487.462,478.794,501.650,514.317,503.311
24,513.424,500.656,502.575,509.381,522.033,521.010,494.311,506.752,521.440,516.564,510.938,512.261,487.627,479.027,502.306,513.492,502.637
25,513.206,500.295,502.818,509.314,523.099,520.992,493.644,506.501,522.144,516.809,511.269,512.116,487.554,478.912,502.145,512.669,502.604
26,512.998,500.358,503.098,509.525,524.833,521.564,492.893,506.160,523.532,518.572,512.033,511.882,487.533,478.324,501.558,512.256,503.355
27,512.718,500.629,503.060,510.032,527.074,522.886,492.656,505.791,525.359,521.574,513.267,511.570,488.094,477.782,501.415,512.278,504.395
28,512.518,500.618,502.593,510.513,529.599,524.527,493.169,505.519,527.159,524.600,514.984,511.294,489.339,477.855,501.871,512.382,505.375
29,512.757,500.267,502.291,510.332,531.926,525.809,494.142,505.264,528.687,526.955,516.658,510.996,490.780,478.169,502.350,512.252,506.342
