 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7
1,423.115,421.815,422.584,428.391,427.502,423.287,422.114
2,423.520,421.692,422.322,428.184,427.396,423.750,422.445
3,423.631,421.703,422.162,427.851,427.646,423.799,422.471
4,423.406,421.992,422.110,427.495,428.081,423.323,422.280
5,423.071,422.451,422.133,427.252,428.123,422.679,422.155
6,422.814,422.737,422.166,427.180,427.637,422.301,422.206
7,422.711,422.685,422.121,427.183,427.155,422.393,422.405
8,422.679,422.401,421.956,427.256,427.042,422.822,422.419
9,422.596,422.237,421.703,427.311,427.161,423.258,422.204
10,422.460,422.303,421.532,427.272,427.167,423.468,421.875
11,422.385,422.425,421.636,427.115,427.056,423.515,421.796
12,422.405,422.323,421.867,426.992,426.847,423.530,422.020
13,422.414,422.091,421.910,426.910,426.489,423.464,422.282
14,422.317,421.919,421.735,426.849,426.055,423.232,422.382
15,422.227,421.854,421.505,426.749,425.657,423.091,422.326
16,422.367,421.820,421.312,426.661,425.450,423.205,422.141
17,422.545,421.850,421.117,426.530,425.516,423.241,421.904
18,422.529,421.977,420.800,426.379,425.685,423.140,421.791
19,422.377,422.260,420.500,426.255,425.881,423.007,421.860
20,422.365,422.478,420.341,426.395,425.910,422.952,421.919
21,422.565,422.485,420.278,426.715,425.786,422.859,421.750
22,422.614,422.278,420.096,426.950,425.716,422.709,421.483
23,422.467,422.108,419.955,426.788,425.783,422.584,421.413
24,422.316,422.082,420.022,426.142,425.934,422.456,421.581
25,422.507,421.935,420.298,425.261,426.004,422.379,421.943
26,422.954,421.476,420.639,424.718,425.968,422.353,422.402
27,423.384,420.889,420.829,424.762,425.937,422.431,422.749
28,423.556,420.573,420.771,425.285,425.972,422.639,422.725
29,423.435,420.591,420.472,426.254,425.964,422.834,422.449
30,423.195,420.821,420.152,427.156,425.891,422.706,422.093
31,423.057,421.046,420.060,427.428,425.879,422.378,421.922
32,423.146,421.251,420.355,426.945,426.044,422.224,421.944
33,423.357,421.451,420.881,426.242,426.339,422.344,422.178
34,423.473,421.647,421.333,425.860,426.500,422.567,422.650
35,423.283,421.788,421.621,425.856,426.386,422.872,423.114
36,422.910,421.712,421.743,425.921,426.134,423.142,423.285
37,422.523,421.387,421.727,425.843,425.852,423.196,423.111
38,422.299,420.931,421.514,425.726,425.662,422.989,422.656
39,422.242,420.598,421.146,425.690,425.715,422.714,422.083
40,422.222,420.522,420.684,425.573,425.970,422.543,421.562
41,422.130,420.469,420.345,425.307,426.315,422.561,421.303
42,422.016,420.349,420.213,425.144,426.700,422.642,421.415
43,421.933,420.359,420.380,425.335,427.029,422.723,421.861
44,422.030,420.676,420.793,425.676,427.074,422.751,422.362
45,422.323,421.055,421.271,425.849,426.751,422.675,422.652
46,422.653,421.116,421.609,425.577,426.142,422.540,422.600
47,422.919,420.866,421.741,425.109,425.518,422.448,422.388
48,423.103,420.610,421.782,424.745,425.033,422.437,422.153
49,423.096,420.694,421.702,424.810,424.798,422.439,422.069
50,422.978,421.177,421.470,425.141,424.974,422.277,422.050
51,422.849,421.674,421.222,425.260,425.446,421.972,421.959
52,422.589,421.771,421.151,425.044,425.768,421.777,421.749
53,422.220,421.368,421.166,424.666,425.676,421.876,421.513
54,421.971,420.789,421.223,424.444,425.387,422.090,421.349
55,422.011,420.389,421.367,424.361,425.330,422.208,421.306
56,422.169,420.374,421.531,424.396,425.521,422.263,421.448
57,422.379,420.684,421.465,424.391,425.689,422.443,421.632
58,422.639,421.144,421.112,424.365,425.679,422.693,421.693
59,422.894,421.485,420.688,424.398,425.622,422.886,421.669
60,423.034,421.435,420.408,424.528,425.519,423.043,421.568
61,423.045,421.069,420.375,424.695,425.396,423.082,421.442
62,423.062,420.694,420.474,424.874,425.225,422.893,421.380
63,423.040,420.563,420.481,425.136,425.016,422.520,421.388
64,422.986,420.745,420.405,425.572,424.886,422.256,421.424
65,422.864,421.067,420.292,425.946,424.899,422.222,421.573
66,422.815,421.334,420.206,426.129,425.053,422.379,421.767
67,422.895,421.366,420.205,426.064,425.298,422.670,421.780
68,423.034,421.084,420.308,425.752,425.609,422.960,421.554
69,423.159,420.685,420.507,425.119,425.988,423.031,421.418
70,423.134,420.427,420.774,424.412,426.192,422.840,421.482
71,423.041,420.489,420.977,423.831,426.188,422.721,421.633
72,423.044,420.724,420.970,423.654,426.054,422.772,421.738
73,423.217,420.942,420.852,423.726,425.938,422.837,421.796
74,423.343,420.879,420.781,423.737,425.809,422.888,421.696
75,423.310,420.597,420.797,423.747,425.657,422.965,421.455
76,423.105,420.368,420.778,424.106,425.418,422.914,421.173
77,422.959,420.360,420.535,424.827,425.146,422.722,421.108
78,422.936,420.447,420.153,425.383,424.958,422.565,421.371
79,423.037,420.634,419.882,425.455,424.931,422.551,421.877
80,423.183,421.011,419.811,425.264,424.907,422.560,422.252
81,423.410,421.409,419.938,425.055,424.860,422.495,422.298
82,423.695,421.577,420.269,424.704,424.882,422.299,422.153
83,423.873,421.547,420.592,424.207,424.981,421.951,422.081
84,423.916,421.580,420.636,423.943,425.009,421.679,422.025
85,423.972,421.633,420.471,424.051,424.973,421.594,421.966
86,424.144,421.565,420.534,424.344,425.018,421.612,421.903
87,424.264,421.289,420.951,424.635,425.277,421.578,421.917
88,424.124,421.011,421.356,424.823,425.515,421.560,421.939
89,423.897,420.858,421.431,424.900,425.690,421.728,421.885
90,423.925,420.806,421.163,424.754,425.774,422.046,421.889
91,424.202,420.866,420.647,424.607,425.801,422.371,421.955
92,424.355,421.043,420.262,424.537,425.814,422.651,421.948
93,424.108,421.207,420.224,424.548,425.849,422.828,421.834
94,423.567,421.247,420.641,424.493,425.994,422.752,421.744
95,422.896,421.132,421.248,424.286,426.210,422.428,421.837
96,422.382,420.907,421.662,423.974,426.429,422.098,421.941
97,422.135,420.715,421.609,423.753,426.252,421.945,421.813
98,422.010,420.589,421.195,423.927,425.724,421.823,421.537
99,422.080,420.646,420.862,424.390,425.316,421.634,421.294
100,422.511,421.083,420.808,424.866,425.245,421.395,421.178
101,423.191,421.607,420.985,425.190,425.500,421.266,421.173
102,423.774,421.815,421.299,425.406,425.911,421.292,421.267
103,423.978,421.578,421.655,425.589,426.243,421.327,421.482
104,423.807,421.132,422.008,425.688,426.208,421.463,421.776
105,423.379,420.834,422.182,425.730,425.858,421.845,421.902
106,423.044,420.820,422.143,425.657,425.594,422.410,421.794
107,423.065,421.055,422.012,425.575,425.637,422.770,421.540
108,423.312,421.305,422.022,425.563,425.839,422.818,421.500
109,423.424,421.500,422.075,425.727,426.001,422.677,421.679
110,423.212,421.765,421.917,425.942,426.062,422.619,421.919
111,422.616,422.076,421.547,425.928,425.972,422.707,421.970
112,421.782,422.212,421.224,425.658,425.921,422.787,421.857
113,421.218,422.143,421.136,425.353,425.813,422.670,421.836
114,421.371,422.054,421.323,425.175,425.697,422.424,422.109
115,422.138,422.002,421.668,425.198,425.599,422.299,422.534
116,422.948,421.890,421.829,425.338,425.521,422.246,422.962
117,423.277,421.723,421.709,425.457,425.390,422.213,423.138
118,423.119,421.494,421.566,425.625,425.283,422.277,422.939
119,422.721,421.151,421.660,425.775,425.224,422.475,422.543
120,422.255,420.886,421.798,425.763,425.193,422.613,422.187
121,421.699,420.812,421.674,425.549,425.114,422.525,422.069
122,421.112,420.825,421.321,425.371,425.134,422.212,422.093
123,420.762,420.677,421.041,425.388,425.202,421.860,422.017
124,421.000,420.594,420.901,425.469,425.295,421.712,421.648
125,421.851,420.811,420.884,425.571,425.580,421.821,421.262
126,422.728,421.200,420.903,425.663,426.009,422.052,421.159
127,423.080,421.305,420.928,425.646,426.304,422.206,421.354
128,422.917,421.072,421.020,425.400,426.268,422.355,421.666
129,422.581,420.937,421.223,425.156,426.114,422.679,422.000
130,422.277,421.191,421.637,425.171,426.087,423.176,422.343
