 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6
1,433.324,442.196,406.932,418.262,420.737,431.067
2,433.113,441.724,407.077,418.739,420.108,430.924
3,433.184,441.128,407.293,419.051,419.621,430.891
4,433.535,440.645,407.362,419.313,419.237,430.912
5,433.839,440.504,407.309,419.626,418.988,430.881
6,433.607,440.586,407.227,419.988,419.024,430.756
7,433.078,440.722,407.125,420.388,419.250,430.726
8,432.753,440.807,406.957,420.546,419.452,430.846
9,432.758,440.814,406.701,420.270,419.367,430.946
10,432.819,440.728,406.407,419.626,419.056,430.892
11,432.747,440.492,406.131,419.108,418.637,430.921
12,432.694,440.186,405.821,419.231,418.441,431.126
13,432.776,440.029,405.707,419.631,418.643,431.381
14,432.791,440.045,405.985,419.623,419.001,431.431
15,432.538,440.157,406.401,419.066,419.312,431.242
16,432.241,440.076,406.717,418.359,419.546,431.023
17,432.083,439.941,406.864,418.071,419.722,430.965
18,432.123,439.783,406.908,418.395,419.655,431.172
19,432.157,439.610,406.970,418.908,419.297,431.616
20,431.996,439.442,407.143,418.956,418.792,432.194
21,431.651,439.622,407.361,418.561,418.416,432.742
22,431.270,440.017,407.311,418.158,418.311,432.938
23,431.160,440.111,407.048,418.148,418.337,432.757
24,431.353,439.846,406.841,418.425,418.401,432.371
25,431.773,439.629,406.889,418.712,418.542,431.969
26,432.074,439.740,406.975,418.898,418.762,431.784
27,432.232,439.930,406.996,419.079,418.940,431.820
28,432.448,440.026,406.827,419.033,418.781,431.971
29,432.679,440.043,406.440,418.473,418.406,431.986
30,432.586,439.993,406.044,417.710,418.007,431.805
31,432.349,439.741,405.834,417.246,417.775,431.523
32,432.219,439.427,405.771,417.366,417.611,431.296
33,432.096,439.200,405.812,417.867,417.537,431.172
34,431.913,439.191,405.886,418.251,417.552,430.918
35,431.873,439.272,405.865,418.343,417.617,430.407
36,432.135,439.188,405.571,418.090,417.745,429.777
37,432.469,438.889,405.180,417.702,417.730,429.484
38,432.581,438.600,405.016,417.548,417.572,429.665
39,432.513,438.506,405.207,417.794,417.444,430.192
40,432.309,438.456,405.419,418.247,417.300,430.739
41,432.102,438.469,405.526,418.619,417.120,431.114
42,431.884,438.787,405.550,418.549,417.150,431.349
43,431.612,439.340,405.628,417.959,417.346,431.606
44,431.298,439.765,405.864,417.187,417.257,431.889
45,431.094,440.000,406.049,416.721,416.871,432.007
46,431.149,440.285,406.085,416.653,416.683,431.912
47,431.431,440.714,406.058,416.873,416.924,431.816
48,431.669,440.932,406.069,417.227,417.290,431.824
49,431.737,440.660,406.049,417.485,417.329,431.882
50,431.683,440.076,405.950,417.600,416.901,431.742
51,431.856,439.545,405.811,417.716,416.263,431.502
52,432.341,439.342,405.638,417.863,415.829,431.277
53,432.676,439.531,405.438,418.102,415.678,431.114
54,432.404,440.111,405.217,418.339,415.806,431.153
55,431.656,440.668,405.094,418.383,416.215,431.424
56,430.991,440.771,405.064,418.007,416.794,431.769
57,430.739,440.401,405.122,417.354,417.287,432.099
58,430.751,439.927,405.175,417.070,417.540,432.385
59,430.776,439.699,405.266,417.361,417.576,432.694
60,430.547,439.832,405.205,417.917,417.454,432.953
61,430.196,440.076,404.927,418.456,417.154,433.142
62,429.827,440.066,404.692,418.716,416.773,433.212
63,429.603,439.768,404.972,418.697,416.346,433.153
64,429.451,439.519,405.593,418.567,415.897,433.060
65,429.322,439.655,406.067,418.594,415.614,432.952
66,429.322,440.033,406.090,418.843,415.737,432.880
67,429.548,440.144,405.960,419.092,416.275,432.624
68,429.819,439.688,406.030,419.227,416.850,432.098
69,430.152,438.987,406.336,419.260,417.137,431.586
70,430.460,438.692,406.710,419.179,417.154,431.424
71,430.675,439.117,406.931,419.072,417.058,431.686
72,430.771,439.773,406.826,418.984,416.881,432.197
73,430.902,440.099,406.411,418.923,416.743,432.694
74,431.047,439.925,405.867,418.720,416.685,432.991
75,431.180,439.800,405.561,418.426,416.585,432.928
76,431.092,440.000,405.644,418.193,416.416,432.703
77,430.775,440.285,405.981,418.143,416.226,432.594
78,430.278,440.394,406.333,418.307,416.185,432.699
79,429.816,440.643,406.571,418.466,416.405,432.960
80,429.610,441.299,406.841,418.691,416.712,433.190
81,429.524,442.170,407.097,419.122,416.891,433.584
82,429.480,442.767,407.200,419.575,416.942,434.105
83,429.637,442.967,406.932,419.878,416.827,434.594
84,429.882,443.173,406.287,419.982,416.504,434.790
85,430.045,443.591,405.482,419.932,416.139,434.636
86,430.181,443.965,404.840,419.769,416.014,434.320
87,430.403,443.886,404.683,419.480,416.252,434.048
88,430.516,443.429,404.980,419.303,416.635,433.934
89,430.281,442.984,405.312,419.139,416.881,434.056
90,430.048,442.675,405.327,418.885,416.773,434.269
91,430.139,442.186,405.131,418.488,416.643,434.336
92,430.310,441.247,404.735,418.145,416.650,434.161
93,430.314,440.142,404.393,418.079,416.678,434.066
94,430.228,439.411,404.318,418.429,416.456,434.350
95,430.243,439.394,404.575,418.768,415.921,434.888
96,430.339,439.695,404.925,418.854,415.528,435.147
97,430.300,439.852,405.172,418.862,415.596,435.069
98,430.054,439.924,405.433,419.000,415.951,434.882
99,429.686,440.052,405.800,418.989,415.993,434.673
100,429.501,440.401,406.128,418.760,415.556,434.241
101,429.757,441.022,406.298,418.542,415.016,433.753
102,430.320,441.712,406.283,418.406,414.877,433.499
103,430.820,441.986,405.978,418.199,415.167,433.564
104,430.879,441.868,405.427,417.992,415.504,433.833
105,430.598,441.591,404.955,418.012,415.556,434.056
106,430.354,441.276,405.045,418.092,415.150,433.971
107,430.168,441.026,405.609,418.075,414.779,433.590
108,430.014,440.755,406.213,417.945,414.695,433.284
109,429.912,440.580,406.343,417.728,414.770,433.393
110,429.810,440.501,406.065,417.687,414.963,433.912
111,429.510,440.396,405.671,417.996,415.239,434.512
112,429.023,440.121,405.549,418.378,415.458,434.934
113,428.651,440.047,405.636,418.313,415.331,435.167
114,428.466,440.436,405.798,417.750,414.922,435.299
115,428.399,440.935,406.030,417.134,414.600,435.297
116,428.373,441.091,406.321,416.751,414.484,435.116
117,428.312,440.901,406.578,416.731,414.373,434.850
118,428.241,440.676,406.612,416.937,414.179,434.683
119,428.324,440.590,406.445,417.122,414.135,434.728
120,428.554,440.599,406.301,417.044,414.303,434.949
121,428.766,440.581,406.396,416.765,414.445,435.047
122,428.927,440.463,406.572,416.642,414.505,434.940
123,429.093,440.154,406.701,416.661,414.483,434.758
124,429.262,439.567,406.736,416.862,414.529,434.562
125,429.442,438.843,406.662,417.236,414.546,434.347
126,429.602,438.355,406.410,417.623,414.263,434.072
127,429.622,438.401,405.996,417.732,413.946,433.745
128,429.472,439.000,405.624,417.422,413.951,433.182
129,429.373,439.930,405.584,417.033,414.411,432.666
130,429.354,440.898,405.828,417.020,414.912,432.711
131,429.351,441.350,405.987,417.421,415.022,433.387
132,429.146,441.056,405.994,417.928,414.667,434.229
133,428.940,440.331,406.020,418.288,414.109,434.767
134,429.073,439.742,406.242,418.201,413.778,435.105
135,429.539,439.545,406.447,417.755,413.719,435.150
136,429.843,439.649,406.452,417.150,413.721,434.918
137,429.826,439.883,406.391,416.832,413.537,434.614
138,429.631,440.085,406.288,416.895,413.159,434.543
139,429.549,440.266,406.277,417.288,412.846,434.618
140,429.642,440.268,406.316,417.766,412.784,434.986
141,429.617,440.058,406.304,418.128,413.017,435.714
142,429.198,439.837,405.981,418.169,413.425,436.519
143,428.485,439.804,405.400,417.872,413.875,437.115
144,427.767,439.967,404.994,417.503,414.452,437.315
145,427.341,440.174,405.016,417.128,415.088,437.066
146,427.207,440.258,405.376,416.684,415.477,436.490
147,427.209,440.253,405.831,416.122,415.196,435.963
148,427.272,440.216,405.960,415.608,414.468,435.782
149,427.243,440.479,405.667,415.469,413.951,436.004
150,427.234,441.122,405.334,415.858,413.983,436.403
151,427.446,441.810,405.390,416.499,414.444,436.795
152,427.980,442.014,405.707,416.944,414.847,437.165
153,428.724,441.804,406.010,417.040,414.982,437.450
154,429.248,441.489,406.161,416.941,414.913,437.438
155,429.174,441.170,406.035,416.877,414.881,437.107
156,428.490,440.855,405.710,416.900,415.049,436.691
157,427.831,440.704,405.309,417.011,415.222,436.286
158,427.599,440.905,405.229,417.157,415.339,435.722
159,427.780,441.413,405.481,417.332,415.478,435.092
160,427.975,441.853,405.893,417.598,415.549,434.599
161,427.995,441.994,406.115,417.683,415.430,434.479
162,428.006,441.981,405.982,417.500,415.252,434.701
163,428.146,441.794,405.627,417.090,415.386,435.022
164,428.406,441.460,405.257,416.649,415.774,435.267
165,428.636,441.096,405.093,416.373,415.998,435.425
166,428.644,440.938,405.160,416.421,415.809,435.419
167,428.511,440.941,405.439,416.758,415.532,435.120
168,428.378,441.174,405.874,417.023,415.404,434.580
169,428.282,441.814,406.168,416.985,415.458,434.128
170,428.181,442.614,406.191,416.495,415.618,433.865
171,427.974,443.209,406.016,415.806,415.845,433.748
172,427.586,443.240,405.783,415.350,415.897,433.652
173,427.210,442.999,405.618,415.373,415.792,433.585
174,426.938,442.872,405.515,415.749,415.600,433.605
175,426.699,442.918,405.549,416.027,415.436,433.515
176,426.489,442.816,405.790,416.066,415.260,433.190
177,426.544,442.334,406.072,415.904,414.963,432.732
178,426.936,441.764,406.133,415.635,414.594,432.411
179,427.511,441.554,405.820,415.399,414.500,432.378
180,428.055,441.709,405.332,415.320,414.794,432.408
181,428.325,441.906,404.907,415.410,415.155,432.421
182,428.344,441.973,404.817,415.641,415.299,432.557
183,428.107,442.092,405.085,415.865,415.138,432.672
184,427.698,442.407,405.570,416.041,414.888,432.524
185,427.048,442.993,406.006,416.198,414.665,432.094
186,426.521,443.361,406.257,416.413,414.595,431.665
187,426.514,443.232,406.248,416.484,414.774,431.258
188,427.195,442.727,406.123,416.421,415.119,430.850
189,428.006,442.178,406.067,416.404,415.345,430.481
190,428.484,441.996,406.136,416.604,415.206,430.237
191,428.539,442.183,406.137,416.833,414.806,430.031
192,428.466,442.587,406.106,416.773,414.484,429.971
193,428.490,442.840,406.146,416.548,414.445,429.931
194,428.618,442.843,406.318,416.220,414.532,429.947
195,428.821,442.473,406.567,416.038,414.508,429.950
196,429.132,441.898,406.775,416.096,414.484,429.809
197,429.375,441.353,406.756,416.180,414.571,429.537
198,429.327,440.816,406.535,416.093,414.800,429.469
199,429.122,440.394,406.096,415.702,415.159,429.635
200,429.089,440.348,405.634,415.231,415.496,429.876
201,429.237,440.967,405.409,414.933,415.833,430.008
202,429.441,441.761,405.462,414.870,415.969,429.956
203,429.730,442.212,405.478,414.858,415.998,429.853
204,430.126,442.279,405.235,414.770,415.983,429.894
205,430.484,442.222,404.882,414.702,415.954,430.087
206,430.654,442.132,404.748,414.801,415.780,430.256
207,430.622,442.086,404.800,414.893,415.556,430.341
208,430.427,442.078,405.087,414.844,415.415,430.392
209,430.180,442.204,405.460,414.833,415.370,430.434
210,429.935,442.547,405.766,415.101,415.393,430.445
211,429.727,443.132,405.806,415.395,415.465,430.490
212,429.518,443.597,405.657,415.529,415.609,430.638
213,429.188,443.875,405.383,415.575,415.751,431.016
214,428.819,444.260,405.115,415.641,416.010,431.562
215,428.770,444.482,404.894,415.846,416.344,432.035
216,429.263,444.197,404.884,416.064,416.483,432.161
217,430.042,443.521,405.070,416.305,416.248,431.924
218,430.681,443.023,405.276,416.676,415.874,431.418
219,430.906,442.822,405.391,417.044,415.930,430.939
220,430.559,442.810,405.471,417.219,416.508,430.865
221,430.000,442.908,405.530,417.160,417.196,431.199
222,429.603,442.974,405.601,417.016,417.404,431.710
223,429.518,442.760,405.688,417.052,416.990,432.067
224,429.419,442.432,405.739,417.429,416.405,432.232
225,429.044,442.314,405.610,418.070,416.037,432.258
226,428.412,442.397,405.507,418.612,415.998,432.307
227,428.023,442.327,405.732,418.706,416.095,432.329
228,428.111,442.020,406.191,418.458,416.163,432.327
229,428.560,441.842,406.640,418.313,416.010,432.319
230,429.003,441.937,406.845,418.423,415.690,432.417
231,429.068,442.186,406.839,418.529,415.462,432.532
232,428.945,442.423,406.717,418.471,415.618,432.470
233,428.832,442.492,406.491,418.324,416.035,432.192
234,428.793,442.479,406.135,418.283,416.255,431.801
235,428.778,442.324,405.767,418.406,416.093,431.454
236,428.720,441.918,405.572,418.658,415.812,431.362
237,428.730,441.476,405.639,418.857,415.708,431.510
238,428.822,441.374,405.971,418.736,415.655,431.847
239,428.976,441.876,406.436,418.495,415.512,431.941
240,429.025,442.607,406.792,418.454,415.345,431.668
241,428.908,443.137,406.933,418.604,415.302,431.139
242,428.743,443.360,406.931,418.697,415.374,430.594
243,428.727,443.282,406.842,418.607,415.584,430.296
244,428.782,443.250,406.699,418.585,415.730,430.255
245,428.885,443.337,406.534,418.669,415.700,430.290
246,429.000,443.309,406.326,418.749,415.470,430.376
247,429.118,443.006,406.150,418.805,415.224,430.623
248,429.242,442.564,406.052,418.902,415.081,430.819
249,429.431,442.273,405.933,419.014,415.042,430.756
250,429.632,442.203,405.592,419.070,415.031,430.502
251,429.814,442.224,405.115,419.066,415.084,430.213
252,429.838,442.337,404.912,419.216,415.292,430.003
253,429.860,442.550,405.088,419.295,415.609,429.953
254,429.919,442.846,405.275,419.038,416.000,430.009
255,430.093,442.905,405.285,418.598,416.399,430.064
256,430.229,442.623,405.251,418.391,416.718,429.835
257,430.141,442.210,405.317,418.639,416.994,429.234
258,429.868,441.894,405.607,419.164,417.267,428.546
259,429.702,441.702,405.835,419.511,417.337,428.079
260,429.761,441.636,405.683,419.548,417.133,428.002
261,429.936,441.770,405.335,419.548,416.803,428.030
262,430.186,442.105,405.082,419.540,416.525,428.010
263,430.494,442.306,404.941,419.449,416.073,427.970
264,430.578,442.255,404.926,419.202,415.476,427.943
265,430.175,442.158,404.973,418.883,415.052,427.891
266,429.437,442.387,404.965,418.514,414.984,427.847
267,428.904,442.905,404.830,418.337,415.108,427.887
268,428.885,443.479,404.624,418.351,415.284,428.060
269,429.292,443.947,404.372,418.589,415.552,428.377
270,429.945,444.273,404.200,418.933,415.933,428.726
271,430.455,444.403,404.373,419.126,416.308,428.867
272,430.535,444.450,404.769,418.929,416.567,428.753
273,430.312,444.381,405.024,418.500,416.577,428.310
274,429.875,444.317,404.948,418.124,416.365,427.776
275,429.354,444.196,404.655,417.898,416.163,427.544
276,428.824,443.983,404.347,417.691,416.119,427.561
277,428.413,443.770,404.159,417.452,416.238,427.498
278,428.156,443.735,404.142,417.366,416.377,427.229
279,428.150,444.047,404.350,417.559,416.381,426.931
280,428.203,444.612,404.564,417.739,416.208,426.798
281,428.283,444.941,404.579,417.780,416.175,426.779
282,428.382,444.635,404.488,417.740,416.370,426.865
283,428.548,443.764,404.500,417.676,416.641,426.923
284,428.756,442.871,404.688,417.560,416.686,427.049
285,428.843,442.151,404.982,417.510,416.344,427.465
286,428.615,441.696,405.159,417.512,415.998,428.125
287,428.392,441.416,405.131,417.482,416.125,428.631
288,428.433,441.465,405.016,417.440,416.548,428.848
289,428.681,441.886,404.874,417.560,416.706,428.823
290,429.072,442.423,404.809,417.654,416.325,428.646
